V1	V2
boot1	1.17420608360379	0.0547626549853159
boot2	0.470733496503442	0.0513220525234126
boot3	0.0248494975429121	0.0467902105224709
boot4	0.731030059807481	0.0518931791972113
boot5	0.108450944972649	0.0470372193326419
boot6	0.328903252678822	0.048500205880596
boot7	0.384960591830979	0.0409280862692964
boot8	0.198427542078514	0.0477621439604486
boot9	0.50474159781425	0.0454061672934083
boot10	0.857856582047153	0.0433801877100086
boot11	-0.104344210815209	0.0487077549129712
boot12	-0.196207774670481	0.049649950733359
boot13	0.482665436408778	0.0441700993897939
boot14	1.05375846421272	0.0538142919496371
boot15	0.510298442160002	0.0506969957409578
boot16	0.157580012111727	0.0473589907428483
boot17	0.0486927642123846	0.0461363418746275
boot18	0.71089307296967	0.046869224725235
boot19	0.305538617455272	0.0470900807726963
boot20	0.587343530040581	0.0454546920368161
boot21	0.37662796130329	0.0465595801881909
boot22	0.659271527539788	0.0457443979625873
boot23	0.729932178099915	0.0476751036224633
boot24	0.671515730285425	0.0482365100543034
boot25	-0.0140156513735274	0.0452588752426656
boot26	0.463700451356375	0.0531564360331919
boot27	0.492631351712572	0.0445631389383708
boot28	0.619693888403908	0.0381142266468816
boot29	0.14321346035722	0.0529212609785742
boot30	0.732246667413071	0.0468764014762461
boot31	0.268404131343487	0.0479352325953022
boot32	0.282796357986827	0.0450823882708539
boot33	-0.196547358601847	0.0468369607813996
boot34	0.348575614154134	0.045146426313455
boot35	0.232980609265455	0.0469740331553926
boot36	0.487718319753182	0.0435002744610212
boot37	0.282226148677099	0.0476902451466719
boot38	0.430561478003339	0.0495598896631488
boot39	-0.3093412441939	0.0532340401065309
boot40	0.436486361925837	0.0513776875045288
boot41	0.323979902617839	0.0449885883156175
boot42	-0.0897881302788632	0.0535945208259951
boot43	1.12251966576816	0.0478628719626831
boot44	1.0394767747689	0.0507063738848926
boot45	0.884869532875849	0.059844600901664
boot46	0.619781725151852	0.0483451636846748
boot47	-0.153287952319298	0.0485681669111652
boot48	0.215814020684328	0.0471493187118269
boot49	0.631169121025606	0.046190098277135
boot50	0.187091271803554	0.0491135593505799
boot51	-0.288992410140363	0.0448903342490142
boot52	1.32998445331617	0.0451770103941386
boot53	0.726587460089436	0.0521195836361242
boot54	0.245353310333385	0.0432255683486973
boot55	0.240132998317724	0.0447850135507901
boot56	0.160533919856261	0.0517252900562199
boot57	0.827072525163277	0.0456870151224866
boot58	0.246186480506606	0.0438645959231681
boot59	0.189473740991283	0.0474570594148675
boot60	0.605607668352853	0.0563937601407262
boot61	0.189742714645237	0.0507807398454138
boot62	0.0682173556035712	0.0442211689554921
boot63	0.487981430787311	0.042941307328794
boot64	0.0811244943176757	0.0445251162212226
boot65	0.931872099236725	0.0513653521715568
boot66	0.472657175326627	0.0452331168371452
boot67	-0.00413599371391372	0.0467579965170932
boot68	0.458130177305471	0.047941283045167
boot69	0.30280812249068	0.0390880828369969
boot70	0.389371877108353	0.0437358490895749
boot71	0.760444320013636	0.0428961576348081
boot72	0.525612364895631	0.0504247633381625
boot73	0.0202155153882395	0.0477218966878375
