V1	V2	V3	V4
boot1	0.0493805618565695	6.14116164718379e-05	6.18370989163102e-05	7.73009517959018e-05
boot2	0.0553421787709497	6.19158037178442e-05	6.24505028713211e-05	7.85462462402369e-05
boot3	0.0770305676855895	6.25168709872247e-05	6.35533265956027e-05	7.89531774906281e-05
boot4	0.07036843024271	6.00832288122491e-05	6.0947855313877e-05	7.84584731657017e-05
boot5	0.0638223465640846	6.10788890934902e-05	6.1791127582902e-05	7.82563653496016e-05
boot6	0.049973512272647	6.03954950572251e-05	6.08364895705334e-05	7.85880426012779e-05
boot7	0.0557205240174673	6.14854835823399e-05	6.20278026734807e-05	7.81218535548663e-05
boot8	0.0761583525652405	6.15911008660893e-05	6.262076439626e-05	7.99335249001132e-05
boot9	0.0565149136577708	6.21191838479554e-05	6.26762980055946e-05	7.83670093994324e-05
boot10	0.0652097902097902	6.0414835329715e-05	6.11582473470585e-05	7.75075249033328e-05
boot11	0.0710048848569435	6.0753338947251e-05	6.1632908673969e-05	7.79278685436696e-05
boot12	0.0389315642458101	6.2856423860895e-05	6.31210304765769e-05	7.72173228458439e-05
boot13	0.0623663578047042	6.24289646730035e-05	6.31220442499501e-05	8.00451125539634e-05
boot14	0.0632704858593183	6.3725178688929e-05	6.44509137108424e-05	8.04467866509152e-05
boot15	0.0629518603420913	6.05880467704789e-05	6.12868541625667e-05	7.92489659442083e-05
boot16	0.047112196824289	6.3185266623316e-05	6.3572556640697e-05	7.80677329041135e-05
boot17	0.0749214111072302	6.11478350382632e-05	6.212813853849e-05	7.74077453280807e-05
boot18	0.0703152674459794	6.28373116113021e-05	6.37130177459106e-05	7.98538438194833e-05
boot19	0.0559082892416226	6.16903555739203e-05	6.22416319065349e-05	7.80992542400657e-05
boot20	0.0704123896992617	6.43235517390703e-05	6.52163852746656e-05	8.08758460394195e-05
boot21	0.0635930047694754	6.4752133856572e-05	6.54665076872752e-05	7.85031576160694e-05
boot22	0.0706512042818912	6.48083939042056e-05	6.56989545940328e-05	8.04868870364014e-05
boot23	0.0726637554585153	6.32107512131121e-05	6.4133025686009e-05	7.85928607312406e-05
boot24	0.0623254189944134	6.335723374382e-05	6.40353863019257e-05	7.82064915372564e-05
boot25	0.0604578018521754	5.97532376785808e-05	6.03919142127058e-05	7.83181981432046e-05
boot26	0.067403896787783	6.29199199327766e-05	6.37174072598221e-05	7.8942700252335e-05
boot27	0.0709871093060215	6.25347718910404e-05	6.34246129095156e-05	7.96741393657773e-05
boot28	0.0816148199930094	6.17839507779617e-05	6.2948050540718e-05	7.8334451843063e-05
boot29	0.0592421277352784	6.09347463931544e-05	6.15591245640498e-05	7.92116973204903e-05
boot30	0.0808027923211169	6.2303004216969e-05	6.34424616771592e-05	7.83921952205636e-05
boot31	0.0733782346685573	6.3885741819099e-05	6.48400781046491e-05	7.99268164948787e-05
boot32	0.0639628372342326	6.18998910558227e-05	6.26308620308188e-05	8.02247660244179e-05
boot33	0.0549546406140963	6.11060397756745e-05	6.1632908673969e-05	7.71484477138096e-05
boot34	0.0792597765363128	5.99212746172785e-05	6.10180120782747e-05	7.86501701440131e-05
boot35	0.0546438547486034	6.24168690074243e-05	6.29381593115071e-05	7.8590899837108e-05
boot36	0.0688329839273236	6.14353861465228e-05	6.2263125433095e-05	7.89029160584198e-05
boot37	0.0504587155963303	6.19297433566873e-05	6.23789462465306e-05	7.79307153842044e-05
boot38	0.0570879888268156	6.03576102827003e-05	6.09265764957398e-05	7.73104611394129e-05
boot39	0.0796847635726795	6.24075939091841e-05	6.35196186982619e-05	7.92752843806333e-05
boot40	0.0660146699266504	6.12145607241013e-05	6.19756394257298e-05	7.85210847291212e-05
boot41	0.0632203981837234	6.11556277802111e-05	6.18536401355217e-05	7.81501544736412e-05
boot42	0.0565149136577708	6.09630191274639e-05	6.1520133285103e-05	7.69798494912274e-05
boot43	0.0557205240174673	6.13024207116852e-05	6.1844739802826e-05	7.76470732049134e-05
boot44	0.0623363017286537	6.16718493772349e-05	6.23503572370578e-05	7.80715955427048e-05
boot45	0.0734986033519553	6.40676047872753e-05	6.50106991822977e-05	7.89390191080439e-05
boot46	0.0606219426974144	6.30555819833222e-05	6.36976190092496e-05	7.8402020642142e-05
boot47	0.0748587570621469	6.23504994064271e-05	6.33398767914712e-05	7.96982293557086e-05
boot48	0.0741839762611276	6.30524360612022e-05	6.40130334314085e-05	7.92720634923138e-05
boot49	0.0624778132765353	6.25672787690418e-05	6.32601217139864e-05	7.90986264022557e-05
boot50	0.0740352715208661	6.27652857503199e-05	6.37223699879955e-05	7.82696607014495e-05
boot51	0.0617021276595745	6.16332069430131e-05	6.23082339922539e-05	7.99931132793312e-05
boot52	0.0602112676056338	6.14153859129784e-05	6.20536599880976e-05	7.87504064383324e-05
boot53	0.0907979745067225	6.4234132367842e-05	6.56736770115513e-05	7.94701685311701e-05
boot54	0.0809608540925267	6.51005816601835e-05	6.62668912501108e-05	8.01384797783635e-05
boot55	0.0698689956331878	6.35854358764089e-05	6.44381304704334e-05	7.8925582161829e-05
boot56	0.0438877043354655	6.30844071672914e-05	6.34266478552511e-05	7.8788581324046e-05
boot57	0.073534699748292	6.50030530216971e-05	6.59752486468447e-05	8.09621695036679e-05
boot58	0.0591313448456306	6.33138459973785e-05	6.39237388882302e-05	7.84830748489405e-05
boot59	0.0630457561997904	6.36909641473328e-05	6.43851254073404e-05	7.91040382882484e-05
boot60	0.0669374779229954	6.16886781405489e-05	6.24800285380572e-05	7.95052430539266e-05
boot61	0.0958209477181325	6.33959884151408e-05	6.50014533603412e-05	7.91969852691442e-05
boot62	0.0574171029668412	6.28062027150787e-05	6.33815471676276e-05	7.65215138220896e-05
boot63	0.0793282115418974	6.58479008581991e-05	6.69722469626187e-05	8.06747759481807e-05
boot64	0.052874378992193	6.36006765245174e-05	6.40967198094376e-05	7.93377340845131e-05
boot65	0.0557205240174673	6.01430225308725e-05	6.06853416220133e-05	7.78265547582732e-05
boot66	0.0466131284916201	6.08520349992471e-05	6.12313617708561e-05	7.75267905763041e-05
boot67	0.0742228431714984	6.02510358548628e-05	6.1213143861929e-05	7.77150233167956e-05
boot68	0.0554954954954955	6.22322015221942e-05	6.27871114357601e-05	8.0230810796187e-05
boot69	0.0507587650444793	6.47521978272092e-05	6.52016051582472e-05	7.95892364297309e-05
boot70	0.0693086592178771	5.99660293126172e-05	6.08046623856933e-05	7.83752727685185e-05
boot71	0.0761173184357542	6.37248969448449e-05	6.4736392434693e-05	7.86370167012741e-05
