V1	V2	V3	V4
boot1	0.0520186335403727	6.92480806393698e-05	6.97733015701555e-05	8.62948139184059e-05
boot2	0.0488977955911824	7.02836108238823e-05	7.0762768021012e-05	8.96075628029244e-05
boot3	0.075182050777406	6.95398762291783e-05	7.06523227474023e-05	8.84899350437772e-05
boot4	0.0643554492926878	6.82885485395966e-05	6.91137375919305e-05	8.92108547464844e-05
boot5	0.0630666935321378	6.95560252832249e-05	7.03574372987551e-05	8.99263646319692e-05
boot6	0.059916946806407	6.74472439977282e-05	6.81571590688379e-05	8.76576582513279e-05
boot7	0.0545954438334643	6.8605007478048e-05	6.91903693176734e-05	8.71098612631568e-05
boot8	0.075772294540509	6.72080282148661e-05	6.83235208552263e-05	8.73040865023546e-05
boot9	0.0511993549687563	7.08203025663443e-05	7.13486988471781e-05	9.02081937425321e-05
boot10	0.0699384065169879	6.84290233596361e-05	6.94008852126334e-05	8.76439865527964e-05
boot11	0.064650059311981	6.90237386531725e-05	6.98500791373644e-05	8.7521481171773e-05
boot12	0.038604742308446	7.10964503850596e-05	7.13884994010701e-05	8.66003557870397e-05
boot13	0.0584480351087173	6.97120152957645e-05	7.03934780542065e-05	8.92394013261256e-05
boot14	0.0586383313656041	6.89412167510308e-05	6.96178113801812e-05	8.72450199251102e-05
boot15	0.0588588588588589	6.93664834201768e-05	7.006005004003e-05	8.99520664330519e-05
boot16	0.0496258369436786	7.1957195559054e-05	7.24421746241112e-05	8.83235588681405e-05
boot17	0.0698776154757205	6.84709690015832e-05	6.94348223660863e-05	8.72575721741529e-05
boot18	0.0631992149165849	6.9403602515767e-05	7.01875359340345e-05	8.8126035049732e-05
boot19	0.0565356856455493	6.96964188249053e-05	7.03372134823657e-05	8.889814773261e-05
boot20	0.0658182541260688	7.09036982156612e-05	7.17651105394241e-05	8.91041146328575e-05
boot21	0.0662961492655816	7.28822633631599e-05	7.37546689620969e-05	8.78783240785378e-05
boot22	0.0681593025559738	7.14721365516727e-05	7.23926220925716e-05	8.92041156210076e-05
boot23	0.0681327311996858	7.09889687112736e-05	7.19004293554379e-05	8.7858707942855e-05
boot24	0.0590700458990221	7.1943710124451e-05	7.26400322802108e-05	8.83101736498628e-05
boot25	0.0602433672451626	6.90726155917201e-05	6.97965859282522e-05	8.96578092516399e-05
boot26	0.0658682634730539	7.16436776368975e-05	7.25096712762101e-05	8.93659472104432e-05
