V1	V2	V3	V4
boot1	0.0532922263818542	7.68695893804667e-05	7.74950158047642e-05	9.67838741313402e-05
boot2	0.0534384581690758	7.55436551547156e-05	7.61690753937625e-05	9.73427691894977e-05
boot3	0.075492341356674	7.68476335645345e-05	7.80946999985636e-05	9.76647425050626e-05
boot4	0.0662120545534536	7.45698984550077e-05	7.55342706873415e-05	9.79571358631717e-05
boot5	0.0610079575596817	7.65717628446267e-05	7.73944796628415e-05	9.84729476585224e-05
boot6	0.0646153846153846	7.32763230007524e-05	7.41939379302017e-05	9.71352666172133e-05
boot7	0.0624317834533945	7.50108376865564e-05	7.58616841360591e-05	9.55888684248782e-05
boot8	0.0764847687924611	7.46510316446574e-05	7.59330653630962e-05	9.76870306498086e-05
boot9	0.0541611624834875	7.71058919544141e-05	7.77517377319488e-05	9.79457202608465e-05
boot10	0.070920456995042	7.26600300083178e-05	7.37442531642535e-05	9.47368292341597e-05
boot11	0.0631004366812227	7.58358905150134e-05	7.6705249709197e-05	9.61511726757348e-05
boot12	0.0382165605095541	7.83099505871635e-05	7.86307293038735e-05	9.63150069439464e-05
boot13	0.059390751698444	7.58324507514382e-05	7.660546442387e-05	9.77871295050097e-05
boot14	0.0555555555555556	7.61553306371359e-05	7.68304005743814e-05	9.65838032796142e-05
boot15	0.0598762704374724	7.59969808998417e-05	7.67891081118393e-05	9.89404864935604e-05
boot16	0.0579451749498551	8.08086523543828e-05	8.15569570791364e-05	9.96932290431915e-05
boot17	0.0691325407309555	7.55361225756378e-05	7.65883700850868e-05	9.63037206582887e-05
boot18	0.0649122807017544	7.64074506055845e-05	7.7331486611265e-05	9.77301171953044e-05
boot19	0.0515986769570011	7.60434114472667e-05	7.66304949012276e-05	9.73614370945423e-05
boot20	0.0681175190424374	7.58585450448087e-05	7.6868337514993e-05	9.68059383876081e-05
boot21	0.0695210770249393	7.91575230336358e-05	8.02242147464381e-05	9.70036382091299e-05
boot22	0.0668817204301075	7.71511057900907e-05	7.81130766562608e-05	9.6460143941061e-05
boot23	0.0659150043365134	7.69120826755395e-05	7.78541442099459e-05	9.62279323153866e-05
boot24	0.0608695652173913	7.83060738061971e-05	7.91115311909263e-05	9.58239294813841e-05
boot25	0.0620614035087719	7.49959902473366e-05	7.58406432748538e-05	9.76919496653491e-05
boot26	0.0672398589065256	7.8661898377234e-05	7.9658635287677e-05	9.79802829818337e-05
boot27	0.0689655172413793	7.72001723501749e-05	7.82448116140385e-05	9.79566192562413e-05
boot28	0.0773127753303965	7.76195548069549e-05	7.89361330512915e-05	9.83787902505266e-05
boot29	0.0541508167375252	7.60513953712166e-05	7.67075401358935e-05	9.88314858685187e-05
boot30	0.0820217246730215	7.87086558613997e-05	8.02000243646888e-05	9.86896602863934e-05
boot31	0.0744845932165817	7.77907397906391e-05	7.90206122416786e-05	9.91645669228608e-05
boot32	0.065478841870824	7.65248793651806e-05	7.74797744058809e-05	9.91067838257643e-05
boot33	0.0564622849580944	7.61557510703683e-05	7.68588806739609e-05	9.65005898555704e-05
boot34	0.0776552022496215	7.42612859201994e-05	7.55657052229097e-05	9.70963613093373e-05
boot35	0.0546806649168854	7.78986509313978e-05	7.85526262410549e-05	9.8155520452622e-05
boot36	0.0589912280701754	7.68087949969761e-05	7.7571945213912e-05	9.84088116012754e-05
boot37	0.0535006605019815	7.56188650290919e-05	7.62490545214187e-05	9.69319037555105e-05
boot38	0.0555678059536935	7.5560629765534e-05	7.6241507617465e-05	9.66822104014232e-05
boot39	0.0741956664478004	7.64450057209505e-05	7.76498638780162e-05	9.79908315738498e-05
boot40	0.0622154779969651	7.41147217253566e-05	7.49538211622504e-05	9.62016721376499e-05
boot41	0.0643564356435644	7.51324384476268e-05	7.60239043987125e-05	9.52417309235961e-05
boot42	0.0519284636931696	7.4028230168965e-05	7.4609261270351e-05	9.47677422333541e-05
boot43	0.0610214459429582	7.66054434491939e-05	7.74287060768678e-05	9.82822285630196e-05
boot44	0.0668852459016393	7.67073661084702e-05	7.76852100689779e-05	9.66574046742695e-05
boot45	0.0691489361702128	7.9988899376824e-05	8.10486456918666e-05	9.874626980445e-05
boot46	0.0630372492836676	7.81161349519566e-05	7.89919768733256e-05	9.76082755247533e-05
boot47	0.0715228873239437	7.76714467547613e-05	7.87972221533426e-05	9.83141760581225e-05
boot48	0.0673541026766125	7.76074147475e-05	7.86027142532858e-05	9.84775619882596e-05
boot49	0.0606796116504854	7.75262303990743e-05	7.83386786051762e-05	9.77859437929192e-05
boot50	0.0704380365397314	7.81758628258429e-05	7.92679863106707e-05	9.7209058163047e-05
boot51	0.0564024390243902	7.5706944905162e-05	7.63997225898093e-05	9.7546673371899e-05
boot52	0.0586690017513135	7.56364185951042e-05	7.63899325544947e-05	9.68330902384388e-05
boot53	0.0788664323374341	7.9760173727247e-05	8.11265872047591e-05	9.90486339319145e-05
boot54	0.0826229508196721	7.92507880003662e-05	8.07429305144973e-05	9.77612751728118e-05
boot55	0.0670057496682884	7.98444157449769e-05	8.08372884757618e-05	9.92781131573172e-05
boot56	0.0471380471380471	7.95132273023796e-05	8.00119917216812e-05	9.90047372313732e-05
boot57	0.0684992241188207	7.90124418517775e-05	8.00525978493125e-05	9.90253434789453e-05
boot58	0.0516824279744887	7.71385009663503e-05	7.7725937377465e-05	9.7797647631348e-05
boot59	0.0632375862836785	8.01246484902032e-05	8.10150943416807e-05	9.98362289165919e-05
boot60	0.0684931506849315	7.63872039415059e-05	7.74237288400363e-05	9.807790578898e-05
boot61	0.0942141432054977	7.83797486455392e-05	8.0347450880065e-05	9.92412596493996e-05
boot62	0.0635026737967914	8.00759709576058e-05	8.0974498047477e-05	9.6852370529145e-05
boot63	0.0752357973239746	7.98285086607588e-05	8.10701022556204e-05	9.84723267955636e-05
boot64	0.0500221336874723	7.81241272569763e-05	7.86779594523387e-05	9.81276665452808e-05
boot65	0.0573788306889807	7.35432569560896e-05	7.42588253567057e-05	9.60921626463721e-05
boot66	0.047546346782988	7.48557727072804e-05	7.53488272530619e-05	9.59693261641348e-05
boot67	0.0721217468019409	7.5760294312879e-05	7.6907525535147e-05	9.76181663808119e-05
boot68	0.0607446113651208	7.3382537481029e-05	7.41859138820522e-05	9.57398315640509e-05
boot69	0.057781713526677	8.10613902871021e-05	8.18005371584944e-05	0.000100318314143233
boot70	0.0717577353522054	7.4810584258131e-05	7.59405321586966e-05	9.78319372930687e-05
boot71	0.0740181268882175	7.89613139971667e-05	8.01435934766747e-05	9.67573389774643e-05
boot72	0.0810752221981357	7.63954658952312e-05	7.78203936330324e-05	9.69233451251625e-05
boot73	0.0703760721354739	7.74589343651447e-05	7.85481781586827e-05	9.67880760645053e-05
boot74	0.0707431376924794	8.06088612755896e-05	8.17257083031676e-05	0.000100563289675493
boot75	0.0692375109553024	8.05623241745081e-05	8.16126819578748e-05	9.79089425749059e-05
boot76	0.0738861932068813	7.56061843027165e-05	7.68102358127749e-05	9.80680508799856e-05
boot77	0.0596430126251633	7.71225047444437e-05	7.78968384307748e-05	9.66295953765929e-05
boot78	0.0736936132201876	8.14702611226289e-05	8.2683023210491e-05	9.91813540165602e-05
boot79	0.0653508771929825	7.56254539183446e-05	7.65620190827947e-05	9.76927406475947e-05
boot80	0.0717587497248514	8.04602353352989e-05	8.15936974004703e-05	9.81723238749872e-05
boot81	0.0727668845315904	7.78283689827962e-05	7.89819679990127e-05	9.6535171000972e-05
boot82	0.0618556701030928	7.6911071343611e-05	7.7750317652868e-05	9.82966131613257e-05
boot83	0.0668425681618294	7.31801205048429e-05	7.41625147261421e-05	9.57725513221433e-05
boot84	0.054030115146147	8.0749042863066e-05	8.13954674296527e-05	9.91369640334353e-05
boot85	0.0737991266375546	7.51823904576813e-05	7.63715413512328e-05	9.56490800349638e-05
boot86	0.0485264790604919	7.63175628918164e-05	7.68393486596002e-05	9.69505176741887e-05
boot87	0.0670477027918224	7.71526367583798e-05	7.81408527288482e-05	9.73092680816346e-05
boot88	0.0620551601423488	7.59713760155471e-05	7.68278802193488e-05	9.8779754735755e-05
boot89	0.054202326091727	7.40438018178123e-05	7.46885005568411e-05	9.61085207914346e-05
boot90	0.0616453223355763	7.71041325245568e-05	7.79289959423682e-05	9.61635950327134e-05
boot91	0.0570127899414698	7.78206584970633e-05	7.85252885028968e-05	9.68499574144536e-05
boot92	0.0539766468385107	7.89114944488864e-05	7.95533711626844e-05	9.75472954347585e-05
boot93	0.0597933611782809	7.47937086687446e-05	7.55796497637097e-05	9.83691370133586e-05
boot94	0.0649803750545137	7.62020670541202e-05	7.71227929900611e-05	9.63045694980736e-05
boot95	0.0679718433787945	7.85825793485313e-05	7.95988951189474e-05	9.6807565758073e-05
boot96	0.0528740675734971	8.00109855940328e-05	8.06243394820904e-05	9.88184913269772e-05
boot97	0.0718497488534615	7.81867978065026e-05	7.9314202569618e-05	9.75294018013859e-05
boot98	0.0688883918586446	7.74784739562229e-05	7.85398943393297e-05	9.94249605244443e-05
boot99	0.0684336302411471	7.61503294908849e-05	7.71677446001576e-05	9.61461123368894e-05
boot100	0.0581699346405229	7.6013908584589e-05	7.67511071240406e-05	9.70076816668974e-05
boot101	0.0673267326732673	7.82977229200226e-05	7.92950582186932e-05	9.82379103620695e-05
boot102	0.0738073807380738	8.12081692646155e-05	8.24339859728547e-05	9.90458396243612e-05
boot103	0.100066563124029	7.99422075942938e-05	8.216393314465e-05	9.91843316161825e-05
boot104	0.0586064684176254	7.58642193032781e-05	7.66097626374188e-05	9.51815436718877e-05
boot105	0.0727952496151309	7.9269078845945e-05	8.04344952450057e-05	9.78243681431582e-05
boot106	0.0680963961972142	7.67945292890094e-05	7.78197601479631e-05	9.79883976409287e-05
boot107	0.0760195035460993	7.73609475541428e-05	7.86417465167748e-05	9.90908419467228e-05
boot108	0.0720087815587267	7.74233267816449e-05	7.8561694426337e-05	9.75018913594478e-05
boot109	0.0663390663390663	7.68975012981645e-05	7.78804969923211e-05	9.85530048709583e-05
boot110	0.069813829787234	7.92316157905662e-05	8.03118398219405e-05	9.94382990410574e-05
boot111	0.0677369694303937	7.65717538050251e-05	7.75808360631324e-05	9.78240064801799e-05
boot112	0.0629834254143646	7.86813454415631e-05	7.95580110497238e-05	9.81423181889395e-05
boot113	0.0441496302740322	7.56819409281515e-05	7.61058621663711e-05	9.60617211954926e-05
boot114	0.0710526315789474	7.57434473765207e-05	7.68505694059711e-05	9.75138731958011e-05
boot115	0.0704070407040704	7.78170983950834e-05	7.89077807670756e-05	9.7306676379811e-05
boot116	0.0687444739168877	7.71804950965832e-05	7.82251022349806e-05	9.74736582024558e-05
boot117	0.0423600605143722	7.58413585223006e-05	7.62291637366471e-05	9.48327096485669e-05
boot118	0.063137339986982	7.51605695133249e-05	7.60254694266752e-05	9.56866654269549e-05
boot119	0.0677003712601005	7.65485971620858e-05	7.75495450259765e-05	9.74553462414248e-05
boot120	0.0705622932745314	7.57270751512322e-05	7.68249885431089e-05	9.72044483456764e-05
boot121	0.043917435221783	7.36401320568367e-05	7.40636588720452e-05	9.63321905835299e-05
boot122	0.0588886429045827	7.46122657473205e-05	7.53800036847e-05	9.91683782140748e-05
boot123	0.0595132743362832	7.70905576593478e-05	7.78741483279818e-05	9.68305321689629e-05
boot124	0.0605137135393992	7.83316765710024e-05	7.91287835641082e-05	9.74162646040937e-05
boot125	0.0707732634338139	7.59167423247013e-05	7.70108565267703e-05	9.67887508951651e-05
boot126	0.0599169035643997	7.71594004868303e-05	7.79444508548044e-05	9.63999313845441e-05
boot127	0.0541139942337547	7.80478020527764e-05	7.86972419223552e-05	9.83417507749595e-05
boot128	0.0536257056013895	7.6160097899286e-05	7.67844392586535e-05	9.67751006911657e-05
boot129	0.0680499776885319	7.83661572167493e-05	7.93993565615529e-05	9.92194464469553e-05
boot130	0.0699316126185749	7.34292945100594e-05	7.45081452586662e-05	9.77169798283143e-05
boot131	0.0609490639965172	7.39609756778482e-05	7.47695930923131e-05	9.78582400306836e-05
boot132	0.090607000443066	7.67533712778767e-05	7.85720749839666e-05	9.88494889727067e-05
boot133	0.0615118042018627	7.78981504870044e-05	7.87176657688255e-05	9.68926849944657e-05
boot134	0.0657015590200445	7.76592397899359e-05	7.86206417626897e-05	9.91840384536927e-05
boot135	0.0648494174543856	7.59599363029285e-05	7.68844135384029e-05	9.76281529728092e-05
boot136	0.0847308031774051	8.02113757489098e-05	8.17955127760696e-05	9.85194515769591e-05
boot137	0.0596819864953169	7.85512673907172e-05	7.93271200398192e-05	9.81750813567894e-05
boot138	0.0486824475212148	7.76655513820819e-05	7.81948012026839e-05	9.93599607967726e-05
boot139	0.0695292066259808	7.59543765988941e-05	7.70080624258423e-05	9.77324486836205e-05
boot140	0.0600482138943677	7.70159539353304e-05	7.78061770323946e-05	9.77009244972182e-05
boot141	0.0422014357189471	7.63667275922269e-05	7.67541457294339e-05	9.75264529830056e-05
boot142	0.0548726953467954	7.69027974843592e-05	7.75636870134685e-05	9.72317171028331e-05
boot143	0.0646551724137931	7.53661678933126e-05	7.62670927467301e-05	9.46546686966973e-05
boot144	0.0600783630822812	7.59739792239698e-05	7.67596583076978e-05	9.68415273999656e-05
boot145	0.0593276203032301	7.75401931757051e-05	7.83135982582901e-05	9.75916906764951e-05
boot146	0.0463125548726953	7.87790787188493e-05	7.9249854122457e-05	9.77247618400136e-05
boot147	0.0848870366308401	7.68914420727592e-05	7.84720099578142e-05	9.73872291455735e-05
boot148	0.0600660066006601	7.8356006259276e-05	7.91498291743366e-05	9.75354427468583e-05
boot149	0.073299581774158	7.58080665869112e-05	7.69907275352419e-05	9.73413501523615e-05
boot150	0.0545932909449682	7.66921918798364e-05	7.73456510809331e-05	9.81881233678566e-05
boot151	0.0658643326039387	7.60920490826489e-05	7.70413073560323e-05	9.78441566249224e-05
boot152	0.0567203707790775	7.88322425312828e-05	7.95422845664441e-05	9.86009935955938e-05
boot153	0.0754799301919721	7.44243932987938e-05	7.56672423087817e-05	9.67742685266365e-05
boot154	0.0667698430245412	8.05490979583404e-05	8.15347738233684e-05	9.83287218919454e-05
boot155	0.0555308751665926	7.82572019034707e-05	7.8942159277253e-05	9.97011898027666e-05
boot156	0.0776612363311761	8.09275698443168e-05	8.22735345014216e-05	9.96249465648605e-05
boot157	0.052757793764988	7.72428071649998e-05	7.78496056831923e-05	9.64935429972299e-05
boot158	0.0557653854698956	7.65587053501333e-05	7.72496136408701e-05	9.78378823345835e-05
boot159	0.0815968414125905	7.7733284511387e-05	7.91937022627604e-05	9.70228845504728e-05
boot160	0.0495349340255246	7.77487586804363e-05	7.82795200234848e-05	9.4869615002362e-05
boot161	0.0725613730175972	7.44663780331288e-05	7.56102304889617e-05	9.61611031243901e-05
boot162	0.0657318141980719	7.74014894477961e-05	7.83481746795598e-05	9.84448084909834e-05
boot163	0.0791227692969254	7.54852922740336e-05	7.68313280988485e-05	9.52123545568271e-05
boot164	0.0808370044052864	7.91463457171331e-05	8.0585689611675e-05	9.91630028614827e-05
boot165	0.0547765118317266	7.63465455004177e-05	7.70039658002536e-05	9.62935188954242e-05
boot166	0.0719861231569818	7.57902857168055e-05	7.69138767677968e-05	9.66264654454631e-05
boot167	0.0796008869179601	7.5831646923882e-05	7.72365917571693e-05	9.77180059736073e-05
boot168	0.0739035087719298	7.81054996510397e-05	7.93032471529702e-05	9.76708568054678e-05
boot169	0.0495575221238938	7.76734236747322e-05	7.82167750019579e-05	9.87112862179352e-05
boot170	0.0669761273209549	7.50836990721726e-05	7.60752555776794e-05	9.84992461705518e-05
boot171	0.0759521700620018	7.93825676047576e-05	8.0659966217939e-05	9.88683334535858e-05
boot172	0.0626931567328918	7.87584922439005e-05	7.96261372551886e-05	9.74162593099371e-05
boot173	0.0515441013108198	7.78933654475801e-05	7.84836330281044e-05	9.91190691724688e-05
boot174	0.0725274725274725	7.61292565664018e-05	7.72853520106267e-05	9.67234673308819e-05
boot175	0.0617446715007691	7.56894528485888e-05	7.65271598269974e-05	9.78279982870507e-05
boot176	0.0718667835232252	7.35679612328422e-05	7.4699607721443e-05	9.7498207409018e-05
boot177	0.0597112860892388	7.37064180699762e-05	7.44862600836313e-05	9.6026208235193e-05
boot178	0.0708922261484099	7.86353499800983e-05	7.97452677646119e-05	9.84671822742682e-05
boot179	0.0592783505154639	7.43433063892788e-05	7.50980149029889e-05	9.4862687163146e-05
boot180	0.0796052631578947	7.81059215082374e-05	7.94956140350877e-05	9.82463543944695e-05
boot181	0.0505407194879718	7.54714621833551e-05	7.60352150693321e-05	9.77156475366414e-05
boot182	0.0693731875975909	7.77928276125775e-05	7.88663585421894e-05	9.92953898573376e-05
boot183	0.0633274492497793	7.86222861449168e-05	7.95071859305486e-05	9.82925032350894e-05
boot184	0.0663276586336502	7.6358278774035e-05	7.7330942559094e-05	9.88391110020921e-05
boot185	0.0551828608526293	7.36608979462837e-05	7.43198782821159e-05	9.57924827005035e-05
boot186	0.0678772157371379	7.71353326654107e-05	7.81312938448802e-05	9.49462047450387e-05
boot187	0.0748509604769265	7.7790458906069e-05	7.90275236630393e-05	9.74765391485596e-05
boot188	0.062719298245614	7.65650142688979e-05	7.74276700523238e-05	9.75421376280421e-05
boot189	0.0786294750713815	7.73692921109136e-05	7.87272087263322e-05	9.76756359173871e-05
boot190	0.0494962768287341	7.56325266815621e-05	7.61690753937625e-05	9.66177414070042e-05
boot191	0.05456936226167	7.80661182866582e-05	7.87187186148733e-05	9.75039265819769e-05
boot192	0.0702749890877346	7.93233315910106e-05	8.04011522132894e-05	9.73216178659512e-05
boot193	0.0614745132356158	7.35006532140332e-05	7.43274122990378e-05	9.70666115121083e-05
boot194	0.0690796733612889	7.81968393528812e-05	7.92500287750181e-05	9.88634712459821e-05
boot195	0.0651984300043611	7.80502478023188e-05	7.89771634750256e-05	9.72855028065429e-05
boot196	0.0665193370165746	7.97522751836885e-05	8.07301364427215e-05	9.89420617190532e-05
boot197	0.0803433854281312	7.57636564092664e-05	7.71845367927252e-05	9.81680364370877e-05
boot198	0.0699779249448124	7.75217947454787e-05	7.86027903259604e-05	9.71944104323856e-05
boot199	0.0660627485638533	7.70940794074267e-05	7.80583495682333e-05	9.78079670935011e-05
boot200	0.0639982405981966	7.66317047622554e-05	7.75324689583549e-05	9.80817870865529e-05
