V1	V2	V3	V4
boot1	0.049469964664311	6.23103175808786e-05	6.27426987476432e-05	7.82728485761004e-05
boot2	0.0542082738944365	6.33240687320568e-05	6.3848058917259e-05	8.00748356541072e-05
boot3	0.0767186392629341	6.32804123443104e-05	6.43232453723679e-05	7.99836507631496e-05
boot4	0.0684931506849315	6.11043193264002e-05	6.19389237901519e-05	7.98338851649468e-05
boot5	0.0626450116009281	6.2337898166728e-05	6.30383082110757e-05	7.97595242465554e-05
boot6	0.0508896797153025	6.09619163764841e-05	6.1422727675688e-05	7.92423157141273e-05
boot7	0.0547360938333037	6.25061813410589e-05	6.30386213567206e-05	7.92647061382765e-05
boot8	0.0765297125727385	6.12802032404991e-05	6.23129658760953e-05	7.93989050331304e-05
boot9	0.0559017269004807	6.34042209903324e-05	6.39605683413126e-05	7.99282496713304e-05
boot10	0.0680357142857143	6.17690814048834e-05	6.25956632653061e-05	7.89269713465744e-05
boot11	0.0695652173913043	6.17490171402309e-05	6.26078138519788e-05	7.91369008656118e-05
boot12	0.0398441650433859	6.39110681455324e-05	6.41922010458343e-05	7.8251406105708e-05
boot13	0.0618996798292423	6.24059907778136e-05	6.30875223258326e-05	7.98992416303891e-05
boot14	0.0639844026940801	6.23238065318914e-05	6.30494364128056e-05	7.85748289543102e-05
boot15	0.0633001422475107	6.13817088696244e-05	6.20941747317431e-05	7.99403045065099e-05
boot16	0.0491600353669319	6.40524065436014e-05	6.44797644706178e-05	7.91156619996909e-05
boot17	0.0758620689655172	6.16796532231296e-05	6.269734615111e-05	7.83431950174354e-05
boot18	0.0700513001945869	6.26559662921745e-05	6.3524033629686e-05	7.97786742369234e-05
boot19	0.0564961682409553	6.23533557551828e-05	6.29222056974231e-05	7.89074104357154e-05
boot20	0.0712631391412792	6.359136145331e-05	6.44961245034203e-05	7.99775702920108e-05
boot21	0.0631429584959205	6.50428868684818e-05	6.5750058420028e-05	7.87817766681292e-05
boot22	0.0693703308431163	6.46360954458904e-05	6.54920617926145e-05	8.02611673877233e-05
