V1	V2	V3	V4
boot1	0.0526461013253064	0.000229302674914691	0.000231119187934398	9.85745132128219e-05
boot2	0.0502700547104791	0.000240840115546083	0.000242586380208965	0.000103303380425689
boot3	0.0733836558728986	0.000242453956534239	0.000246136723842184	0.000102711163410657
boot4	0.0641688794945675	0.00023595525968203	0.000238812422060963	0.00010326665000293
boot5	0.0628167331478515	0.000244464705770882	0.000247223071987445	0.000103507298915083
boot6	0.0654120410861195	0.000230066931791832	0.000232982660138248	0.000101422519489258
boot7	0.0625591912661939	0.000236722721339904	0.000239373255508123	0.000101295158220346
boot8	0.0709297027950957	0.000225754168532061	0.000229078910930122	0.00010046985990336
boot9	0.0563912461303649	0.000244576188362585	0.000246796507659045	0.000103685812605542
boot10	0.0734878297735046	0.000233176816298053	0.000236844901295313	0.000100942217126563
boot11	0.065636270486041	0.000236651738683926	0.000239562564018986	0.000101091349399104
boot12	0.0382748782239962	0.000243306876799369	0.000244286244069751	9.95052148251951e-05
boot13	0.0605445291442005	0.00023791460150749	0.000240430011784895	0.000102884743492392
boot14	0.0622300596218899	0.000236960690367363	0.000239583153119776	0.000100294431761877
boot15	0.0619963905747408	0.000237281543463869	0.00023992503246453	0.000102994966379618
boot16	0.054421140402536	0.000246897969023249	0.000248904837044875	0.00010111367387754
boot17	0.0745256251538614	0.00023691435786612	0.000240698986627334	0.000100738233018817
boot18	0.06710200535278	0.000235162035646267	0.000238193017673784	0.00010185514048377
boot19	0.0589985118350454	0.000237450534844102	0.000239848940527023	0.000101713657847184
boot20	0.0681617868804652	0.000237001105175498	0.000240161749807887	0.000102465070185009
boot21	0.0692592555782847	0.000243771226801628	0.000247041424249042	0.000101098110037751
boot22	0.0677155011662368	0.000248301596899869	0.000251437528886795	0.00010286130481252
boot23	0.0633442582002472	0.000237372548311747	0.000240053328323846	0.000101278980897293
boot24	0.0641952469793015	0.000245449896885187	0.000248275047030633	0.000102204959254133
boot25	0.0652251988563219	0.00023617238438883	0.000239102098938555	0.00010278324000283
boot26	0.0678466887570126	0.000244670981726059	0.000247819032189775	0.000103020358595286
boot27	0.0708545422807928	0.000240692683257201	0.000244077756059879	0.000102248112896719
boot28	0.0784708640188205	0.000241539877689739	0.000245745269099497	0.000102375828387333
boot29	0.0563876176883144	0.000232214803703858	0.000234396787551819	0.000101940691719494
boot30	0.0824329692917412	0.000240326436976908	0.000244973383552607	0.000102551370012018
boot31	0.0667986599144637	0.000247229820815468	0.000250310130759457	0.000103188830385929
boot32	0.0607391960824583	0.000239385697789521	0.000241933734092723	0.000103356701855102
boot33	0.0557420821075755	0.000239230013744557	0.000241360131424878	0.000101168953549486
boot34	0.0764908635705448	0.00023641827709764	0.000240466729272702	0.000103357081979234
boot35	0.0535256884052361	0.00024863094506655	0.000250626399695831	0.000103426845578372
boot36	0.0597408018049123	0.000236478779967502	0.000238879012903861	0.000101958694567792
boot37	0.0568328623629657	0.00023644387340466	0.000238660757590077	0.000101205609872787
boot38	0.059153697764149	0.000236740060279263	0.00023916166097165	0.000102031792424313
boot39	0.0735202853037876	0.000241813457027801	0.000245569040399659	0.000103852460007169
boot40	0.0563189164731217	0.000238362193029324	0.000240550130778206	0.000103176498651663
boot41	0.0662507918108718	0.000244489619997388	0.000247552976106349	0.000103307655606916
boot42	0.0540638021891229	0.000235106030617877	0.000237070953026218	9.95922263788584e-05
boot43	0.0662793774005259	0.000238628235110615	0.000241627773787382	0.000101284325417475
boot44	0.0723934035515991	0.000243861504714006	0.000247467075545201	0.000102064722245626
boot45	0.0669431796688965	0.000241222950146672	0.000244238618262498	0.000102466730772195
boot46	0.0597799994486913	0.00024489653486619	0.000247321024051262	0.000101728080390345
boot47	0.0694141924411877	0.000236924233323289	0.000240175351981619	0.000101953430859822
boot48	0.0638822328681041	0.000248428756232566	0.000251313250808927	0.000105700576205682
boot49	0.0622589007354598	0.000234541569609271	0.000237131767740918	0.000100159150403911
boot50	0.0711199300996247	0.000248008914796008	0.000251566787291267	0.000103844981103373
boot51	0.0554721502683292	0.000242636442624658	0.000244779314135814	0.000104105720208032
boot52	0.0570935062257298	0.000244861440270579	0.000247124488013017	0.000102530293625938
boot53	0.0726018824445423	0.000250900764298664	0.000254536660599885	0.000104206317088137
boot54	0.0790839567605638	0.000244028938701722	0.000248274914930433	0.000102458133890785
boot55	0.070987248628077	0.000251094525634378	0.000254594735440923	0.000103812157852018
boot56	0.0481167446777241	0.000241194165223134	0.000242756325402491	0.000100340480338894
boot57	0.0675780123696783	0.000243785077697665	0.000246902423611276	0.000102933561321539
boot58	0.0480860640804762	0.000240156747767363	0.000241719993673654	0.000101627732911142
boot59	0.060321457676265	0.000257549384214367	0.000260164624136364	0.000107099363517092
boot60	0.069316473707261	0.000248705580449734	0.000252136913641861	0.000105760554689076
boot61	0.0880669109524381	0.000237183543200162	0.000242405144077087	0.000102269199787613
boot62	0.0624504274932014	0.000241069156377385	0.000243695924297843	9.85705963486134e-05
boot63	0.0729951621514869	0.000252060965256417	0.000255763460893666	0.000103718346946298
boot64	0.0571297344851386	0.000245288170385477	0.000247551671080488	0.000103059878098972
boot65	0.0626286975664996	0.000239224026798188	0.000241965603233889	0.000102959490111705
boot66	0.0501350442828495	0.000235690170310025	0.000237420712683246	0.000101536240653118
boot67	0.0783950274018062	0.000230196767455806	0.000234320099632733	9.99359205391831e-05
boot68	0.058950685492503	0.000235096616434613	0.000237512455414803	0.000102447607095817
boot69	0.0532670967117394	0.000250525675931883	0.000252450585265453	0.00010310348672884
boot70	0.0722708599810571	0.000229397974780644	0.000232923780768972	0.000101574822061183
boot71	0.0716355749579573	0.000245345822724603	0.000248819731376451	0.000102018535666642
boot72	0.0812550477451495	0.000239805862886662	0.00024431403725654	0.000102612282537657
boot73	0.0709062840426251	0.000252023141186536	0.000255571462354493	0.000103919691773281
boot74	0.0725363555433353	0.00024796408258234	0.000251584809603041	0.000103759332944858
boot75	0.0729602246977627	0.000254795686518712	0.000258473824248767	0.000103514296272517
boot76	0.0683168186470327	0.000237016847399939	0.000240206821331304	0.000102564315972041
boot77	0.0650249153485125	0.000244017346777307	0.000246917689435058	0.000101781599681375
boot78	0.0699699721239116	0.000253190132173084	0.000256619837928256	0.00010412299312307
boot79	0.0637042641288735	0.000233346845110912	0.000236100543603231	0.000101671159179137
boot80	0.0650806212916245	0.000250883914484686	0.00025375796703864	0.000102918294279652
boot81	0.0704763168267252	0.000239723579392361	0.000243079120688458	0.000101097770670373
boot82	0.0570887285736639	0.00023944114369646	0.000241637911823028	0.00010185942497065
boot83	0.0682965984890394	0.000225651614388287	0.000228820841066222	0.000100039241138878
boot84	0.0536468332992596	0.000263523057810972	0.000265581857717102	0.000105975841006293
boot85	0.0748591599214122	0.000238652984287349	0.000242496023067945	0.000101066636957225
boot86	0.0558637451173175	0.000238782164264471	0.000240903206583437	9.95337891256634e-05
boot87	0.0671897650517381	0.000243647793797479	0.000246776496299984	0.00010258217396673
boot88	0.0599699265341695	0.000236526567608832	0.000238987210057979	0.000103469698625224
boot89	0.0606412902009391	0.000222179762963461	0.00022458199805321	9.82406080462987e-05
boot90	0.0603816521463111	0.000237276846801497	0.000239706027507482	0.000100194586462051
boot91	0.0564510398053201	0.000251339267353121	0.000253564380900575	0.000104493764451019
boot92	0.0546018693274205	0.00024101811175318	0.000243014116256606	0.000100458441422732
boot93	0.0593961827908645	0.000232274632910887	0.000234678761838672	0.000103059074977215
boot94	0.0678484839138824	0.000246540169158123	0.000249731615182395	0.000102470435810551
boot95	0.0725213265744964	0.000248879165872711	0.000252514696026276	0.000101569762154294
boot96	0.0508863830464173	0.000257385196397756	0.000259193719850106	0.000104164863885273
boot97	0.0694580592554318	0.000243912799606833	0.000247188369658668	0.000103530630171324
boot98	0.0704257767547991	0.000237307971084869	0.000240662351776535	0.000101187880388643
boot99	0.0677711607121374	0.000247821068904417	0.000251028189332283	0.000102978672834977
boot100	0.0609095984753922	0.000242717819018157	0.000245255573938212	0.000101870125992068
boot101	0.0665064216758355	0.000234149414235991	0.000237055746918355	0.0001003979953724
boot102	0.0764844271991	0.000250665808650452	0.000254695711341604	0.000101801091124091
boot103	0.0957200946037812	0.000246637766404785	0.000252879785674055	0.000103556765595859
boot104	0.061664073538293	0.000244541362607622	0.000247173236617976	0.000101261478790014
boot105	0.0753841641586422	0.00024867794450645	0.000252614791833066	0.000103115912586253
boot106	0.0683950045097063	0.000243056281406825	0.000246309622950927	0.000102434942644417
boot107	0.0745068575274991	0.000240032617767394	0.000243856488933024	0.000102841149428749
boot108	0.070193824669934	0.000250062357877752	0.000253568028213148	0.000104843070315713
boot109	0.0708994792768877	0.000230919611593384	0.000234258981852492	9.99295074828027e-05
boot110	0.0661036695872362	0.000245896979340899	0.000248916178545689	0.000104342789968968
boot111	0.068397463995055	0.000230975809843335	0.000234097022038227	0.00010178329205026
boot112	0.0642371120404843	0.000246838446788073	0.000249692261327711	0.000102784527683377
boot113	0.0487736408745834	0.000247508452665593	0.000249166407740776	0.000102964333813131
boot114	0.0734794525272833	0.000249937611616406	0.000253785496649826	0.00010534617833011
boot115	0.0701926696817672	0.000238951185444195	0.000242272594233117	0.00010144415856756
boot116	0.0677574492316388	0.000241526888203238	0.000244693037058271	0.00010299185888796
boot117	0.0474008254260009	0.00024720745719259	0.000248760082775997	0.000102281807769591
boot118	0.0650949707491994	0.00023901520695813	0.000241978080704788	0.000102795884017742
boot119	0.0733789538094173	0.000238183547931881	0.000241863519591285	0.00010261645967272
boot120	0.0744873352915431	0.000232142778993513	0.000235872613189904	0.000101095579129225
boot121	0.0464927447572755	0.000232133042300389	0.000233603716548809	0.000101054297876405
boot122	0.0611949924399531	0.000232780779103883	0.000235363971621336	0.000103194991714256
boot123	0.0617108993505462	0.000237335942758895	0.000239922944760355	0.000100518114053859
boot124	0.0633919717226005	0.000244883837497186	0.000247626527599561	0.000102326973744047
boot125	0.0733627498100352	0.000237695942035731	0.000241355187780937	0.000101711590968889
boot126	0.0608617282951418	0.000239347771493533	0.000241842784245861	0.000100346394643925
boot127	0.0606477688210997	0.000244573261901186	0.000247112391770848	0.000101657250233654
boot128	0.0507394872391819	0.000241404362281532	0.000243169804872568	0.000103506023363177
boot129	0.0718216827010511	0.000242982167174156	0.000246562258649592	0.000102785430990902
boot130	0.0742529713053312	0.000229291150480761	0.000233060140706075	0.000101970660785441
boot131	0.0567010698060553	0.000235027444225693	0.000237223076364231	0.000102213855731507
boot132	0.0884087784255863	0.000239524615991801	0.000244907749634318	0.000103828831523965
