V1	V2	V3	V4
boot1	0.052743033946735	0.000168009338745267	0.000169295033914114	0.000109387176570394
boot2	0.0415416654679693	0.000163734166205863	0.000164527970735019	0.000114994922062071
boot3	0.0667382829473085	0.000168622822001152	0.000170689630589475	0.000114712480481108
boot4	0.0629748038153121	0.000157810937998453	0.000159627360336737	0.000114950216983831
boot5	0.0652518982784439	0.000161537194995999	0.000163479455929351	0.000115072503816145
boot6	0.0559869036905012	0.000163147133684215	0.000164590591008262	0.000112921917935048
boot7	0.0604520397629367	0.000166487108606994	0.000168140714842386	0.000112382568936699
boot8	0.0666715256620178	0.000162702335354573	0.00016475247843917	0.000111775683645119
boot9	0.0538730854879665	0.00016391626146548	0.000165235943522862	0.000115235192970492
boot10	0.0725627412285634	0.000164724632642043	0.000167143630939802	0.000112160212088515
boot11	0.0675444886167512	0.000163034972069637	0.000165124374696913	0.00011237649576777
boot12	0.0454644254930117	0.000170093809274352	0.000171032126482385	0.00011031979048666
boot13	0.0526250216415429	0.000166513694141967	0.000167790696488831	0.000114484929257676
boot14	0.0702712922310719	0.000160727228964985	0.000162949022313324	0.000111285986068084
boot15	0.0630255404680983	0.000161422046007561	0.000163224811636257	0.000114264933474916
boot16	0.0513783341358682	0.000172321614294656	0.000173524173066154	0.000112514688903471
boot17	0.0727385844660663	0.000160927957154108	0.00016333171325412	0.000111927644585972
boot18	0.0647516195687824	0.0001649298570924	0.000166824207418398	0.000113032976151414
boot19	0.0730147111164623	0.00016225723323583	0.000164696727286764	0.000112960576602848
boot20	0.0555510213224875	0.000167287030891905	0.000168706489612514	0.000113934290727054
boot21	0.0713833497915356	0.00016877970009631	0.000171120919608434	0.000112491039790404
boot22	0.0733707010273379	0.000167293587136342	0.000169740168750628	0.000114284552309074
boot23	0.0642717407729949	0.000169320917965686	0.000171226750033542	0.000112606690612202
boot24	0.0584450348946731	0.000163525315882301	0.000165080541022993	0.000113600107957203
boot25	0.060365635363952	0.000165459212043451	0.000167141944395035	0.000114476042685838
boot26	0.0637546849234428	0.000163771980351208	0.000165627639940242	0.000114233807939256
boot27	0.0673330835550172	0.000167359398037026	0.000169425910153488	0.000113463291545407
boot28	0.0801750889056085	0.000162802853535943	0.000165726335416649	0.000113542704153055
boot29	0.0597188608397406	0.000162803576089144	0.000164454257883057	0.000113649601336958
boot30	0.0768726068692211	0.000165735189799132	0.00016843129251144	0.000113842081965146
boot31	0.0656154608390148	0.000166369107668886	0.000168332878134131	0.000114838212504536
boot32	0.0599858584236183	0.000162648148150681	0.000164296896884026	0.000115083180280014
boot33	0.0624400485807341	0.000169069518885228	0.000170864628845151	0.000112513486072982
boot34	0.0766758383652236	0.000164320184942786	0.000167084556244862	0.000115624106359823
boot35	0.0517450446318215	0.000169760189374582	0.000170986170871145	0.000115350055206553
boot36	0.0641222234706588	0.0001627868156847	0.000164659188855252	0.000113116898820153
boot37	0.0584542382477915	0.000162071390165315	0.000163632823778076	0.000112324912945523
boot38	0.0681468208502483	0.000160862878277793	0.000162996001569443	0.000113340633450479
boot39	0.0762078137534835	0.000163492424721621	0.000166133320831707	0.000115602812319855
boot40	0.0524897009102249	0.000163125330377025	0.000164382509495024	0.000114620268077649
boot41	0.0669618997217905	0.000162522017724877	0.000164560913355176	0.000114792132630863
boot42	0.0659288094012728	0.000165975303650937	0.000167976249446824	0.000110754964617597
boot43	0.0615613479797721	0.000165713191161314	0.000167442537700141	0.000112556883202858
boot44	0.0631058919203767	0.000167287694286543	0.000169109737015376	0.000113717128694428
boot45	0.0689992404747536	0.000170112582744242	0.000172284761126042	0.00011354408410994
boot46	0.0554017848684221	0.000167989094409113	0.000169365746424727	0.000112713110085984
boot47	0.0658088346540225	0.000164186936919091	0.00016616477021412	0.000113329642454657
boot48	0.059171707027321	0.000168872142604545	0.000170480436417881	0.000117723455499515
boot49	0.0660645288203068	0.000167102021488023	0.000169128683768648	0.000111658455495029
boot50	0.0669034110270347	0.000166132893225924	0.000168177300975306	0.000115636674159733
boot51	0.0526470482977615	0.000163961436580998	0.000165243790367534	0.000116146773611217
boot52	0.0506388067943603	0.000164247699773884	0.000165407340608305	0.000114106111527114
boot53	0.0752701446911682	0.000173806650525197	0.000176398877635234	0.000115980569883735
boot54	0.0733193858379009	0.000169377043435075	0.000171852974534672	0.000114058823242554
boot55	0.0657814272625167	0.000171851137066236	0.000173847560011214	0.000115815942318438
boot56	0.0539261698291882	0.000166242437844418	0.000167567136181916	0.000111388159986984
boot57	0.0702564518249783	0.000165978556531501	0.000168258006490719	0.000114603446269214
boot58	0.0434307592314763	0.000168851986118033	0.000169714789808532	0.000113096229774603
boot59	0.0555149055098134	0.00017091954842428	0.000172331934548288	0.00011879024740435
boot60	0.0655599939821886	0.000166326820294938	0.000168302642056848	0.00011764773931678
boot61	0.0844434226983039	0.000167203987454434	0.00017049331866802	0.00011381266007766
boot62	0.0687222042765381	0.000168014024204875	0.000170170468771429	0.000109781716504882
boot63	0.0715695726379324	0.000168941580756035	0.000171287346794804	0.00011564236229175
boot64	0.0580521530024491	0.000167929330046514	0.000169470504372919	0.000114527603007138
boot65	0.0582435760318563	0.000167198054152213	0.000168771921011387	0.000114889479124818
boot66	0.0525604926912343	0.000161678100286482	0.000162952479834656	0.000113156136983832
boot67	0.0852814377219883	0.00016222217955219	0.000165588044293791	0.000111473494376495
boot68	0.0566659158274087	0.000161852202994099	0.000163330188863493	0.000114043032112561
boot69	0.0381217236934472	0.000172056269203813	0.000172714091229413	0.000114642217080054
boot70	0.0677850296204877	0.000161004727125162	0.000163116101363541	0.000112957821211332
boot71	0.0667107815727901	0.0001686208663056	0.000170669781784156	0.000113527722675319
boot72	0.0815672551370636	0.000161651360255122	0.000164663170224531	0.000113860221632601
boot73	0.062191080457197	0.000173650868223549	0.000175438234951473	0.000115795262138105
boot74	0.0663198865679888	0.000170515953225465	0.000172544021303693	0.000115604347141119
boot75	0.0647265223383335	0.00017531286470486	0.000177232213334981	0.000114968818595611
boot76	0.0661882756952275	0.000166399011670843	0.000168433169470917	0.000114262906387273
boot77	0.0675396613661148	0.000167028363657942	0.0001691213828768	0.000113446334650017
boot78	0.0675971685628497	0.000168127447363329	0.000170211750283727	0.000115871153555953
boot79	0.057786399650681	0.00016128019093299	0.000162800108157571	0.000112998727799328
boot80	0.0599616101509209	0.000171492969023313	0.000173134109200238	0.000114222047941304
boot81	0.0733002123272266	0.000165690424241984	0.000168138097190444	0.000112223728375195
boot82	0.0541434365176364	0.000164001908009233	0.000165325427707812	0.000113211321824659
boot83	0.0695269954735408	0.000154185993538611	0.000156399021311246	0.000111505564207456
boot84	0.0436061947473434	0.000175645665963673	0.000176527367819001	0.000118591600956661
boot85	0.081767573094556	0.000165490063064489	0.00016855727177944	0.000112491127675159
boot86	0.0610996541090761	0.000160803050250511	0.000162507195444943	0.000110890351247414
boot87	0.0678093839904448	0.000165254223752047	0.000167350509653414	0.000114117364961904
boot88	0.0595448436068897	0.000162619801279883	0.000164256102400271	0.000114875322632322
boot89	0.0697536295589884	0.000159409340734065	0.000161631547289616	0.000109061363538176
boot90	0.0556523857738555	0.000170825303226239	0.000172239654343582	0.000111439134766101
boot91	0.0541284181161566	0.000167100993572455	0.000168438482892001	0.00011609922021052
boot92	0.0501779975537128	0.000170936022936967	0.000172101340161629	0.000111869859297024
boot93	0.0586268568357513	0.000162884485849606	0.00016445180430404	0.000114238863628968
boot94	0.0643002399626172	0.000169306901574469	0.000171208804035055	0.000113988345283643
boot95	0.0772019151238429	0.000168941722799672	0.000171695838563251	0.000113252820797555
boot96	0.0467273782196705	0.000171101470957337	0.000172091193053516	0.000115798468623772
boot97	0.0575521649442762	0.000166544506458541	0.000168049910757346	0.00011468803161643
boot98	0.0860980032125116	0.000166417384549015	0.000169831634782138	0.000112649118145155
boot99	0.0593648787771818	0.000168582456853147	0.000170195604532829	0.000114989741339054
boot100	0.0583053934596963	0.000166750910849807	0.00016829130240986	0.000113123286320721
boot101	0.0578887837749361	0.000166082913287696	0.000167616199172066	0.000111360571686247
boot102	0.0847187635579224	0.000171922957015176	0.000175229702693399	0.000113212567503384
boot103	0.0862283061704718	0.000168087286424489	0.000171485547281804	0.000115154205162551
boot104	0.0632087219692742	0.00016416969806082	0.000166004826858277	0.000112844741827618
boot105	0.0731401628146402	0.000168909431450261	0.000171369863539794	0.000114691781037298
boot106	0.0728348203246402	0.000164485783257759	0.00016691365636549	0.000114414529732338
boot107	0.0830245723436279	0.000163897737556276	0.000167056479075571	0.000114454560593809
boot108	0.0720590830712579	0.000165319115293647	0.000167686955435468	0.000116437226793883
boot109	0.0704532969040728	0.000158387053328236	0.000160612971698323	0.000110518139301995
boot110	0.0596413851967275	0.000166730305960104	0.000168352605099854	0.000115903659149164
boot111	0.0576508017591012	0.000162336355012441	0.000163839603277898	0.000112595722586413
boot112	0.0597119567897694	0.0001699721773678	0.000171605982093032	0.000114260643364024
boot113	0.0446557160481995	0.000166852870845205	0.000167775190589833	0.000114647716869896
boot114	0.0670832572480097	0.000163078255529335	0.000165141344817724	0.00011718596131074
boot115	0.0690829619827032	0.00016312225164755	0.000165283330026006	0.000112421375774655
boot116	0.0617401622525439	0.000167598293972818	0.000169347753543763	0.000114324350968818
boot117	0.0430207381656578	0.000169465885502339	0.000170318110487987	0.000113820088224824
boot118	0.071703550909151	0.000159045415993873	0.000161416202888793	0.000114445599543527
boot119	0.0689261192940477	0.00016287212716589	0.000165061015446157	0.0001139451611332
boot120	0.0677210759338936	0.00016145675303403	0.000163542339304201	0.000112178047675748
boot121	0.0500172896791525	0.000160438722591162	0.000161584307004054	0.000111898981909702
boot122	0.0592517072064191	0.000159873116275781	0.000161488150332954	0.000115174379054084
boot123	0.0607741106155987	0.000164078579506132	0.000165770494093722	0.000111935514436254
boot124	0.0553443663169149	0.000169565655233622	0.000170970767923246	0.000114149075779777
