pointEst	sd	95CILower	95CIupper
truncate0.01	0.0654948811835401	0.0159165881113069	0.0342983684853787	0.0966913938817016
truncate0.02	0.0645534973735611	0.0159157836066398	0.0333585615045471	0.0957484332425751
truncate0.03	0.06220958815616	0.0157299068741909	0.0313789706827459	0.0930402056295741
truncate0.04	0.0647522110554381	0.0153536430782822	0.0346590706220049	0.0948453514888712
truncate0.05	0.0663790635186456	0.0147900051012165	0.0373906535202612	0.09536747351703
truncate0.06	0.0640599898655289	0.0145660948072226	0.0355104440433727	0.0926095356876852
truncate0.07	0.060053447266904	0.0147851581682755	0.031074537257084	0.089032357276724
truncate0.08	0.0646800144629166	0.0145156709884001	0.0362292993256523	0.0931307296001809
truncate0.09	0.0603918597156633	0.0145680059680529	0.0318385680182795	0.0889451514130471
truncate0.1	0.0593309617158959	0.0146954916754259	0.0305277980320612	0.0881341253997306
