pointEst	sd	95CILower	95CIupper
truncate0.01	0.0598390384634951	0.0164903092580623	0.0275180323176929	0.0921600446092973
truncate0.02	0.0595528396068403	0.0167422739392497	0.026737982685911	0.0923676965277697
truncate0.03	0.0587597564991468	0.016517716006802	0.0263850331258148	0.0911344798724788
truncate0.04	0.0632708982999762	0.0161835172337527	0.031551204521821	0.0949905920781314
truncate0.05	0.0662611437622326	0.0154228806002828	0.0360322977856782	0.0964899897387869
truncate0.06	0.0635392403406764	0.0152005078178899	0.0337462450176122	0.0933322356637407
truncate0.07	0.0599080556198743	0.0153384801525813	0.0298446345208149	0.0899714767189338
truncate0.08	0.0659227993807021	0.015083437182951	0.0363592625021182	0.095486336259286
truncate0.09	0.0610977638290414	0.0150304908155831	0.0316380018304985	0.0905575258275842
truncate0.1	0.059032075885059	0.015087888131546	0.0294598151472288	0.0886043366228893
