pointEst	sd1	95CILower1	95CIupper1	sd2	95CILower2	95CIupper2	sd3	95CILower3	95CIupper3
truncate0.01	0.0650872599230101	0.0147202861857944	0.0361764803482746	0.0939980394977456	0.0147464107978274	0.0361255938261951	0.0940489260198251	0.0152685233093829	0.0351081570228039	0.0950663628232163
truncate0.02	0.0646338478353932	0.0145364312503585	0.0360860672270578	0.0931816284437286	0.0145628770796534	0.0360345445765384	0.0932331510942479	0.0150966665381236	0.0349941425882156	0.0942735530825707
truncate0.03	0.0643335637188959	0.0143345266928385	0.0361845953049226	0.0924825321328693	0.0143615695948765	0.0361318963616094	0.0925352310761825	0.0149100808255009	0.0350625373180788	0.0936045901197131
truncate0.04	0.0639751967462746	0.0141418816303483	0.0362068989669163	0.0917434945256328	0.0141695466249293	0.0361529737758619	0.0917974197166872	0.0147374737752109	0.0350454761023697	0.0929049173901795
truncate0.05	0.0636733793795883	0.0139836970766787	0.0362179271826994	0.0911288315764773	0.014012022687792	0.0361627006278713	0.0911840581313053	0.014599135251318	0.0350175091269415	0.0923292496322351
truncate0.06	0.0633809043097788	0.0138466744169493	0.0361966393168878	0.0905651693026698	0.0138756816413094	0.0361400702094132	0.0906217384101443	0.014483381357364	0.0349544405613429	0.0918073680582147
truncate0.07	0.0631270669820764	0.0137543455486303	0.036125979679202	0.0901281542849508	0.0137840175555899	0.0360681017049111	0.0901860322592417	0.0144100293810585	0.0348464882074201	0.0914076457567327
truncate0.08	0.0630367108646428	0.0136599645138369	0.0362228707660908	0.0898505509631948	0.0136904787551347	0.0361633367076357	0.0899100850216498	0.0143353355208542	0.0349046765495912	0.0911687451796943
truncate0.09	0.0631240816528182	0.0135700610365471	0.0364886299956365	0.0897595333099999	0.0136015952506708	0.0364270925723979	0.0898210707332384	0.0142663760511739	0.0351292697430433	0.091118893562593
truncate0.1	0.0632999930910758	0.0135878348168133	0.0366307781746811	0.0899692080074705	0.0136202821219996	0.0365674508263274	0.0900325353558242	0.0142997867469175	0.0352407199667241	0.0913592662154275
