pointEst	sd	95CILower	95CIupper
truncate0.01	0.0654928420711791	0.015658740227661	0.0348017112249634	0.0961839729173947
truncate0.02	0.0645388209673936	0.0156450912240764	0.0338744421682039	0.0952031997665833
truncate0.03	0.0621115781936828	0.0155971532074219	0.031541157907136	0.0926819984802296
truncate0.04	0.0643922236709487	0.0153392836150265	0.0343272277854968	0.0944572195564007
truncate0.05	0.0658667209752055	0.0149324118047279	0.0365991938379388	0.0951342481124722
truncate0.06	0.06380901671919	0.0147527785613514	0.0348935707389413	0.0927244626994387
truncate0.07	0.0596802447686146	0.0147710828720319	0.0307289223394321	0.0886315671977971
truncate0.08	0.06376812240256	0.0146073501326157	0.0351377161426332	0.0923985286624868
truncate0.09	0.0594039633050206	0.0144623380295687	0.0310577807670659	0.0877501458429753
truncate0.1	0.058536872191201	0.0145353403676261	0.0300476050706539	0.0870261393117481
