pointEst	sd	95CILower	95CIupper
truncate0.01	0.0598498621717071	0.0162995900498812	0.02790266567394	0.0917970586694743
truncate0.02	0.059532945254982	0.0163679423651334	0.0274517782193206	0.0916141122906433
truncate0.03	0.0591928308820217	0.0159537907580284	0.027923400996286	0.0904622607677574
truncate0.04	0.0636494194622431	0.0159780298053867	0.0323324810436851	0.094966357880801
truncate0.05	0.066850384875603	0.0154884136232864	0.0364930941739615	0.0972076755772444
truncate0.06	0.0640076777353843	0.0152257500309208	0.0341652076747796	0.0938501477959891
truncate0.07	0.0602243107896198	0.0152078979771183	0.030416830754468	0.0900317908247716
truncate0.08	0.066333555043693	0.0151806267124679	0.036579526687256	0.09608758340013
truncate0.09	0.0602193565966489	0.0153279622320974	0.0301765506217379	0.0902621625715598
truncate0.1	0.0586699514573125	0.0150957626035026	0.0290822567544474	0.0882576461601777
