V1	V2	V3	V4
boot1	0.0544245949314499	9.29354175636097e-05	9.35507138937827e-05	9.16484080991425e-05
boot2	0.067946505608283	9.64800389276979e-05	9.74758818147506e-05	9.59270437845726e-05
boot3	0.070926517571885	9.54216342651956e-05	9.64931083642105e-05	9.6053373902072e-05
boot4	0.0645370170515864	9.56782291092862e-05	9.65772203827412e-05	9.73337623504863e-05
boot5	0.0570184983677911	9.81840815963625e-05	9.88916135128191e-05	9.67249232826704e-05
boot6	0.0875881221961119	9.45651456265699e-05	9.62040431163885e-05	9.49831863557099e-05
boot7	0.0700084602368866	9.45615421242849e-05	9.55981716726647e-05	9.32896671832803e-05
boot8	0.0697431614115682	9.13341850082038e-05	9.23498685671264e-05	9.26912946980346e-05
boot9	0.0379332897318509	9.89231616115828e-05	9.92368599917616e-05	9.79395230191695e-05
boot10	0.0783390410958904	9.22377809178929e-05	9.35513522705949e-05	9.41239240948078e-05
boot11	0.0620352666241768	9.46876692536468e-05	9.55052546169637e-05	9.48116725131515e-05
boot12	0.0442105263157895	9.4790727511299e-05	9.5202216066482e-05	9.29942487243038e-05
boot13	0.0564655172413793	9.5366659598077e-05	9.60538049940547e-05	9.61234364749477e-05
boot14	0.0633877464490142	9.38444364789617e-05	9.46962504284814e-05	9.2791629081213e-05
boot15	0.0621750433275563	9.48567375929342e-05	9.56942020671074e-05	9.71971116703296e-05
boot16	0.0506463233735961	9.82935633464763e-05	9.88371213187719e-05	9.48055086075021e-05
boot17	0.0673917679675837	9.39068723036165e-05	9.48754477759553e-05	9.40563838235115e-05
boot18	0.0480708412397217	9.28625221343243e-05	9.33497255451391e-05	9.44192787392408e-05
boot19	0.0648508430609598	9.43250674481344e-05	9.52341966841303e-05	9.5085321721018e-05
boot20	0.0774482611478558	9.50878199620242e-05	9.63675795427424e-05	9.55161061142338e-05
boot21	0.0814053127677806	9.46785118477095e-05	9.60981401567969e-05	9.43476126120636e-05
boot22	0.0690542569161484	9.40859584400795e-05	9.51085813005216e-05	9.65608509439444e-05
boot23	0.0662013536379019	9.35975876296295e-05	9.45245375499956e-05	9.34345442074475e-05
boot24	0.0457474226804124	9.36075443691376e-05	9.40570346358687e-05	9.51236588203562e-05
boot25	0.0647096635954575	9.56093978346876e-05	9.65066210107402e-05	9.64160762746279e-05
boot26	0.0764276513525118	9.39666838235297e-05	9.52206953931435e-05	9.60826007697209e-05
boot27	0.067132570944515	9.55147261438025e-05	9.64691484397831e-05	9.43079763578746e-05
boot28	0.0826375508456433	9.64377424089129e-05	9.78997344469703e-05	9.63219377562165e-05
boot29	0.0596438532503755	9.21254907576601e-05	9.28887152224857e-05	9.45179492076453e-05
boot30	0.0767411865864144	9.75737372912514e-05	9.88396895093707e-05	9.68473163886512e-05
boot31	0.0811569177638679	9.76247547272074e-05	9.90463919603028e-05	9.68282412791434e-05
boot32	0.0783261802575107	9.58026001678981e-05	9.71191217373685e-05	9.59464021711177e-05
