V1	V2	V3	V4
boot1	0.0219656434807097	0.000123896599092113	0.00012403247335106	0.000121953043329598
boot2	0.0585750492818924	0.00012433513080623	0.000125301347758744	0.000125114732816639
boot3	0.104759222754154	0.000128555183398385	0.000131645719797161	0.000128026515505913
boot4	0.0675865953252605	0.000128297415368015	0.000129583798884675	0.000125777220327719
boot5	0.0430864545198536	0.000123430374399512	0.00012395316870058	0.000123869218776289
boot6	0.0822303576457336	0.000125934891640699	0.00012783909657411	0.000126756211783211
boot7	0.0490002816108139	0.000130017908655454	0.000130694063991398	0.00012436072447828
boot8	0.0563221627710504	0.000122187495658728	0.000123080817545297	0.000124941964363777
boot9	0.0377358490566038	0.000121728149544654	0.000122129161739535	0.00012340755002531
boot10	0.0428048437059983	0.000119868476707287	0.00012038445942897	0.000123845322415824
boot11	0.0515347789355111	0.000122570820080255	0.000123318731496738	0.000124565339856399
boot12	0.0228104759222754	0.000122696376471412	0.000122842903593857	0.000122034514285653
boot13	0.03914390312588	0.00011987365797423	0.00012030515477849	0.000123530605115185
boot14	0.0371726274288933	0.000120946984220943	0.000121336115234733	0.0001233580153267
boot15	0.0599831033511687	0.000120719410470339	0.000121732638487134	0.000125221261451613
boot16	0.0394255139397353	0.000124705010733364	0.000125142738457783	0.000123555082134877
boot17	0.062517600675866	0.000125310950969024	0.000126411612865467	0.000125410199030622
boot18	0.0433680653337088	0.000119854808882423	0.00012038445942897	0.000123893070470661
boot19	0.0349197409180513	0.000123371861815942	0.000123715254749139	0.000123158089888486
boot20	0.0808223035764573	0.000128933817880007	0.000130773368641879	0.000126667326255497
boot21	0.0520980005632216	0.00012556795967579	0.000126332308214986	0.000124610318613388
boot22	0.0760349197409181	0.000122245784911826	0.0001238738640501	0.000126356762901631
boot23	0.0413967896367221	0.000122518918078645	0.000123001512894817	0.00012372517062208
boot24	0.0397071247535905	0.000126205523506235	0.000126649526816907	0.000123579514488475
boot25	0.0532244438186426	0.000123789847126668	0.000124587605904422	0.000124699740134233
boot26	0.0870177414812729	0.000124199926538698	0.000126332308214986	0.000127050070017798
boot27	0.0487186707969586	0.000127567214057933	0.000128235619826512	0.000124337766105795
boot28	0.0839200225288651	0.000128393581469104	0.000130376845389477	0.000126861400435354
boot29	0.03914390312588	0.00012383889049824	0.000124270387302501	0.000123530605115185
boot30	0.0794142495071811	0.000124635599622778	0.000126411612865467	0.000126577324075425
boot31	0.0782878062517601	0.000124527016347465	0.000126253003564506	0.00012650451834167
boot32	0.0706843142776683	0.000125876959716355	0.000127283964020749	0.000125994386878344
boot33	0.035764573359617	0.000119310507856936	0.000119670717574648	0.000123233396923524
