V1	V2	V3	V4
boot1	0.0374168317522795	0.000124443972809842	0.000124835989678814	8.80717711246989e-05
boot2	0.0619134131963054	0.000125274450536002	0.000126350901575725	9.12230688715666e-05
boot3	0.0982755439563807	0.000128068051951174	0.000130765849814557	9.24231199524041e-05
boot4	0.0671084887324537	0.000127063143167624	0.00012833114748032	9.22736808538221e-05
boot5	0.045582468151751	0.000123705132552083	0.000124291605714084	9.13554783523567e-05
boot6	0.0835085507001827	0.000124450197102591	0.000126407196473311	9.15394522368854e-05
boot7	0.0515955084558804	0.00012806342728208	0.00012881862928305	9.07740153708821e-05
boot8	0.059093097084477	0.000122243313383621	0.000123222336821654	8.94986550633327e-05
boot9	0.0384236920242142	0.000124497574202596	0.000124915131908312	9.27696301753881e-05
boot10	0.0524864405640415	0.000120489037491537	0.00012126322745351	8.9595016813596e-05
boot11	0.0544047041437826	0.000123041838686856	0.000123875258566429	9.11397371037735e-05
boot12	0.0318654374902343	0.000123661188448214	0.000123948667448514	8.96476705920931e-05
boot13	0.0449999369218547	0.000119944224702273	0.000120512033245972	9.07198174561036e-05
boot14	0.0507135455105008	0.000125264796802817	0.000125997011136875	8.96124989498159e-05
boot15	0.0588372149035187	0.000123551683577445	0.000124531924985674	9.19138691550847e-05
boot16	0.039597756253609	0.000126056781418829	0.000126499726416185	9.06901774696068e-05
boot17	0.0744211089965892	0.000126162115290706	0.000127729363268712	9.09463074603932e-05
boot18	0.0446528110119212	0.000123030980954197	0.000123597149430169	9.14949330506808e-05
boot19	0.045181251614259	0.000122827038610748	0.000123402122190902	8.99057014638575e-05
boot20	0.0764226076987205	0.000128090591857213	0.000129730701280068	9.1410332697617e-05
boot21	0.0548254157517291	0.000125479860275232	0.000126324541111955	8.98043436352031e-05
boot22	0.0673114518945474	0.000122814717048961	0.000124096538924686	9.21834948573899e-05
boot23	0.0476146621963097	0.000122423009854786	0.000123058509393315	8.93053406556975e-05
boot24	0.0431108380313969	0.000126620849313739	0.000127146062457882	9.15511775830064e-05
boot25	0.0491616322199985	0.000123154681436449	0.000123831775544541	9.14789393401666e-05
boot26	0.0819623694293038	0.000124727850375278	0.000126623086390822	9.22100860066587e-05
