V1	V2	V3	V4
boot1	0.0570198001225187	0.000208002578837522	0.00020950523347787	0.000108188715361479
boot2	0.0678594726235071	0.000206456089866874	0.000208574288701121	0.000113911864863942
boot3	0.0659739941834575	0.000209876803303552	0.000211896544647164	0.000115464724181783
boot4	0.0566348918872577	0.000201425514668812	0.000202894614603282	0.00011506664005219
boot5	0.0672888378831709	0.000208300212365043	0.000210365627378509	0.000113943052679952
boot6	0.0701901389602139	0.000210822502514092	0.000213091234808896	0.000113799760572014
boot7	0.0729077371395057	0.00020609749623617	0.000208502730715017	0.000111482226276233
boot8	0.0780495338581943	0.000202325308091929	0.000205134904980304	0.000110069750768942
boot9	0.0168891247821217	0.000214349163131287	0.000214478863108974	0.000115418016223468
boot10	0.0800470597014745	0.000200437834818932	0.000203381571564379	0.000111166512841482
boot11	0.0470720674378049	0.000206118161892626	0.000207132934760753	0.000112622068988544
boot12	0.0533152673117909	0.00020594187842436	0.000207232234134406	0.000109848954582232
boot13	0.0495766476657762	0.000210479497864278	0.000211612841040371	0.000113191263078062
boot14	0.0836296564370677	0.000198389870027707	0.000201536664710518	0.000109638067859281
boot15	0.0654490667318336	0.000198842495586443	0.000200786570644017	0.000113701826278981
boot16	0.0596000006975472	0.00021750674598406	0.000219124970596946	0.000111769666943402
boot17	0.0676948918536046	0.000200372209409329	0.000202454170009619	0.000112169396582698
boot18	0.039193157120423	0.000204075156203975	0.000204769188248865	0.000112012015049705
boot19	0.0771603514039892	0.000201668743490713	0.00020439312180395	0.000111860451075542
boot20	0.0831918276752253	0.000201189172347813	0.000204372636783765	0.00011354186702833
boot21	0.0969010913248609	0.000200948721891019	0.000205262975023246	0.000111527020168269
boot22	0.0772958334188745	0.000200436800548239	0.000203152155063741	0.000113865624580015
boot23	0.0734187578461196	0.000208414805394736	0.000210901706811221	0.000110366423413603
boot24	0.0384482632967104	0.000200587487208739	0.000201260543640451	0.000113298054222485
boot25	0.0575004807298559	0.000209207977320602	0.000210734764285603	0.000114354536900498
boot26	0.0787418852201665	0.000199360605665805	0.000202191252704037	0.000114315742208864
boot27	0.0737415729344646	0.000208215241132827	0.000210693837122649	0.000111706628576609
boot28	0.0756862938199275	0.000206279631777724	0.000208884921252004	0.000113786734027877
boot29	0.0719686100246662	0.000199643928465937	0.000202041251518824	0.000112134359788207
boot30	0.0773913592376748	0.000209157639602407	0.000211890252816426	0.000113980090117832
boot31	0.078595862366169	0.000204625598487573	0.00020744318801366	0.00011438302716224
boot32	0.0717474109210979	0.000205024802271462	0.000207383483148414	0.000114289284673759
boot33	0.073535717692185	0.000204220563583003	0.00020671034523845	0.000112170480777554
boot34	0.0707969222386536	0.000213411524612972	0.000215768245035558	0.00011479409432312
boot35	0.0539731797743746	0.000211517085430552	0.000212850921303619	0.000114525051318246
boot36	0.0615899651080887	0.000208909491083529	0.000210636900087154	0.000111763229311363
boot37	0.0736966576735137	0.000200862318660504	0.000203344234766854	0.000112226015045997
boot38	0.0728203597539993	0.000198422108750089	0.000200857845775091	0.000112061544003466
boot39	0.0438881659750435	0.000211067349339209	0.000211943234516215	0.000115535395154114
boot40	0.0814778307810975	0.000205343207759985	0.000208372407274603	0.000113499052023759
boot41	0.0623186137031594	0.000208108825674686	0.000209874761960048	0.000114161498294694
boot42	0.0632784716964791	0.000206107292963681	0.000207950596351257	0.000111699195713089
boot43	0.0602105053814608	0.00020277262522058	0.000204426910222765	0.000112653277485559
boot44	0.0608786784734282	0.000204179669085182	0.000205875369676458	0.00011358883246569
boot45	0.0840542924302402	0.000202525790041817	0.000205749282511749	0.000113223040883561
boot46	0.0691470935911069	0.000205767926404878	0.000207912418860908	0.000111428604498157
boot47	0.0709599982717168	0.000208947907358184	0.000211247487106748	0.000112572383928642
boot48	0.0831674153533237	0.000200595305562104	0.000203772498616288	0.000117355312328532
boot49	0.0750021018499065	0.000204556503200598	0.000207168613846711	0.000109836892158457
boot50	0.0872944018316695	0.000203046952148667	0.000206527469347768	0.000115175239207999
boot51	0.0538123523639584	0.000207260814312693	0.000208600564291673	0.000115018775389509
boot52	0.0578291905030567	0.000201428391945185	0.000202940736678485	0.00011462095392143
boot53	0.0714223995838125	0.000210397933886669	0.00021273191007377	0.000114866342550534
boot54	0.0542664553008339	0.000209401998264316	0.000210758323451155	0.00011505082882749
boot55	0.0719444675046656	0.000213929825299479	0.000216317860770245	0.000115408816339622
boot56	0.0623531747517263	0.000205552357170474	0.000207323424136223	0.000109984359020375
boot57	0.0807585396003	0.000209838561288587	0.000212850419692598	0.000113370333825093
boot58	0.0564418380406428	0.000209795857463018	0.000211253058418853	0.000112026970588862
boot59	0.0479963808462324	0.000206929778193189	0.000207985504184613	0.000119085988747934
boot60	0.0681886182755812	0.000208570023759529	0.000210707462787637	0.00011637299615295
boot61	0.0785458240087545	0.000209684609094588	0.000212530525574333	0.000112977719807034
boot62	0.0787154799224777	0.000201192041845247	0.000204021246941797	0.000109487568779827
boot63	0.0788824109835893	0.000206219810157757	0.000209069438349221	0.000114454391925854
boot64	0.0545029938520235	0.000204730525184986	0.000206089013229672	0.000114014548074502
boot65	0.076588986458116	0.000205169905150695	0.000207891381543528	0.000113247422263717
boot66	0.0567911845480686	0.000201836483707992	0.000203324274246519	0.000113230878628157
boot67	0.0958803224480585	0.000205053670377651	0.000209308151538332	0.000110731184187976
boot68	0.0821273841217028	0.000199705185157734	0.000202809762172707	0.000112841073057633
boot69	0.061387017122817	0.000210979097324103	0.000212684851385755	0.000112085255010142
boot70	0.0732488560398338	0.000205371659655798	0.000207837127433749	0.000112258074821627
boot71	0.0696230536362686	0.000206717329178984	0.000208949041033746	0.000113056856469789
boot72	0.085229904804961	0.000200193053934682	0.000203481417877629	0.000111743531451002
boot73	0.0502217217431025	0.000208793395572107	0.000209958971743415	0.000115497581619039
boot74	0.0564540950339196	0.000213257971528276	0.000214727526647034	0.000115612807656824
boot75	0.056139275862936	0.000208770921807789	0.00021021477465162	0.000114766323660016
boot76	0.080368528533566	0.000203904704571778	0.000206903829383467	0.000112413322602754
boot77	0.0787985312783827	0.000210576036529327	0.000213425031641295	0.00011228332495444
boot78	0.0849083770147677	0.000204077709307574	0.000207366262766275	0.000115162065654448
boot79	0.0738319434445814	0.000203619257211823	0.000206100431452162	0.000111043823733724
boot80	0.065165002811066	0.000213280675437471	0.000215219006436658	0.000114875135590867
boot81	0.0831728848883198	0.000198837577454198	0.000201988998664422	0.000109273787680807
boot82	0.0714426665153734	0.00020854894997986	0.00021085332992241	0.000111734434904816
boot83	0.0626684933430143	0.000205338303746205	0.000207136257210785	0.000111976435254252
boot84	0.0461427280282524	0.000209402966133734	0.000210390226968829	0.000117717285195077
boot85	0.0803155893651816	0.000206379565390915	0.000209338809658683	0.000112119475309509
boot86	0.078383160697542	0.00019936756244246	0.000202172186368043	0.000110455263267748
boot87	0.084453662751509	0.000208899576079179	0.00021215125678903	0.000113501966145668
boot88	0.0521118300529896	0.000205897937684392	0.000207151216098632	0.000115672769687277
boot89	0.0837801512899728	0.000203122449996923	0.000206328225336547	0.000107928512480018
boot90	0.0401170520539145	0.000210726526957239	0.000211461459854818	0.00011243279532042
boot91	0.0535179901816814	0.000203113203558367	0.000204420696169894	0.000115900726496345
boot92	0.0696002798128257	0.000204971538390889	0.000207213558404552	0.000111711823785806
boot93	0.0736110503822774	0.000205473526434473	0.000207944397336957	0.000113200732871655
boot94	0.0727184680958108	0.000208947994541552	0.000211380492562899	0.00011313399296016
boot95	0.073044525290717	0.000205177610236477	0.000207643089676261	0.000113461160526794
boot96	0.0655461684612609	0.000205377755065144	0.000207325199420397	0.000115595384055815
boot97	0.0866270737859814	0.00020037722969541	0.000203787879348877	0.000113354818267737
boot98	0.0795761468706373	0.000202869705953334	0.000205786293398099	0.000113126664754274
boot99	0.0819110148483131	0.000206443034575967	0.000209514174265579	0.000113837861833805
boot100	0.0529965906365852	0.00020663421693596	0.000207906868550235	0.000112175161343261
boot101	0.0611815942664615	0.000205367217818891	0.00020707989639909	0.000110293761801867
boot102	0.0768635518694146	0.000215401345727653	0.000218123310346787	0.000112545277977964
boot103	0.0803541226047616	0.000203977911755691	0.000206928939751729	0.000113507325232519
boot104	0.0724996032270619	0.000203951083280777	0.000206365341904039	0.000113993093079225
boot105	0.0910557395050936	0.000206388719718006	0.000210202135755373	0.000113604794837656
boot106	0.0783057386053157	0.000202900355209159	0.000205706661429618	0.00011305219556025
boot107	0.0694447122514491	0.00020161615045304	0.000203826083721673	0.000113690800498535
boot108	0.0755343107568947	0.000202540452819929	0.00020514219020241	0.000115918677720822
boot109	0.063551816813109	0.000201433390221136	0.000203244574054172	0.000109928114267481
boot110	0.076887214554781	0.00019926272856414	0.00020195887669986	0.000114644838427097
boot111	0.0533994255956186	0.000207616959218434	0.000208906672521089	0.000111218515821361
boot112	0.0609469259030639	0.000208705083608051	0.000210407168242696	0.000114683304409198
boot113	0.0474730493576657	0.000208463139832481	0.000209505509219866	0.000113614435797607
boot114	0.0825519657166233	0.000202447585062094	0.00020557182643223	0.000115370037614171
boot115	0.0878368706619628	0.000197388508913372	0.000200882182512883	0.000111942902919684
boot116	0.0601103473559509	0.000205890584311459	0.000207548898638698	0.000114203476665835
boot117	0.0436973532104544	0.000206928863576803	0.000207808106357812	0.000113307622848097
boot118	0.0718157745837607	0.000200840143124597	0.000203218356893599	0.000114031881905009
boot119	0.0719811456668024	0.000199370657543114	0.000201757883074675	0.000112715121589042
boot120	0.0720991129090611	0.000201259711356377	0.00020362367233149	0.000110513163079817
boot121	0.073007439913362	0.000206495691233226	0.000208936428464768	0.000110832495379191
boot122	0.0437655883167346	0.000204891703031772	0.000205772844195631	0.000115648407807973
boot123	0.074223128418388	0.000199641118214491	0.00020216471358336	0.000111650989544983
boot124	0.0623744837674982	0.000205813282021765	0.000207598035537142	0.000112800371756516
boot125	0.0810976514761167	0.000198790408363288	0.000201830970290571	0.000112253161263996
boot126	0.0664127667857306	0.00021016373950819	0.000212170942814699	0.000110123589917208
boot127	0.065738857163691	0.000204905081077022	0.00020686497398194	0.000112469624764288
boot128	0.0777420752696121	0.000205029595158499	0.00020784191737967	0.000113685993724998
boot129	0.0959762006760423	0.00020280216512061	0.000207058037198532	0.000113192037113766
boot130	0.100152187225023	0.000196137731020549	0.000200726612189924	0.000111605741641767
boot131	0.0625012370845224	0.000209682921875761	0.000211469773734481	0.000112769222732253
boot132	0.0973201638014145	0.00020104939093509	0.000205385605222462	0.000114450164276079
boot133	0.0573593229513357	0.000206919203355134	0.000208401918768122	0.000111387687284709
boot134	0.0680030308216243	0.000205628798479386	0.000207745468216388	0.000113556381195127
boot135	0.0728884069355003	0.000203513376368499	0.000205971983513147	0.000112845807538223
boot136	0.0660465779888225	0.000207426933819006	0.000209444939621081	0.000113846547955509
boot137	0.0657297384276863	0.000215728688951208	0.000217698076823095	0.00011373414107314
boot138	0.0574619343260242	0.000207932943561774	0.000209459736859028	0.000113277267029554
boot139	0.068433511277307	0.000207636915226861	0.000209787301793346	0.000114946524771481
