"truth"	"bias"	"biasPercent"	"sd"	"RMSE"	"coverage"	"widthCI"	"num.sim"	"sdBoot"
"ATE"	0.1444	-0.0330684175273344	-0.229005661546637	0.08121286021394	0.0876119731803982	0.802	0.254084855196479	500	0.0648175651011427
"ATE aug"	0.1444	0.0020169549646819	0.0139678321653871	0.0264791106251345	0.0265294010529576	0.962	0.100388832797749	500	0.0256093961218747
"pencomp"	0.1444	0.000440816748381951	0.00305274756497196	0.0244042332795421	0.0243838017578072	0.968	0.106396664960984	500	0.0270823511808811
"ATM"	0.252010687167164	0.00467199685871647	0.0185388838514513	0.0509400304183112	0.0511030770137014	0.946	0.203578910444641	500	0.051933395521592
"ATM aug"	0.252010687167164	0.00394805261972057	0.0156662110805711	0.0468059531894377	0.0469255024368623	0.962	0.190576278509137	500	0.0486163975788614
"pencomp ATM"	0.252010687167164	0.00618233068954437	0.024532017903842	0.0466422320885824	0.0470039150638716	0.976	0.206260196334428	500	0.052550269874378
"pencomp w ATM"	0.252010687167164	0.00356069122397084	0.0141291278715056	0.0464181009911554	0.046508164244768	0.998	0.267447615904166	500	0.0681966640297182
"ATO"	0.242239321653016	0.00456927431466237	0.0188626449392366	0.0482161305477643	0.0483841288262142	0.958	0.189660850707281	500	0.0483828700783879
"ATO aug"	0.242239321653016	0.00417262988331363	0.0172252376486197	0.0431931020454422	0.0433511662625412	0.966	0.175286343588119	500	0.0447159039765609
"pencomp ATO"	0.242239321653016	0.0041098827652077	0.0169662081992399	0.0434101869402104	0.043561067225992	1	0.297664180519083	500	0.0759189351866981
"ATT"	0.254154803266146	-0.0326139673044337	-0.128323237984533	0.101999282009684	0.106989329779958	0.89	0.358908215195774	500	0.0915582181621873
"ATT aug"	0.254154803266146	0.00213607497640637	0.00840462170675372	0.0533257581200501	0.053315213798922	0.95	0.195326943191696	500	0.0498283018346162
"pencomp ATT"	0.254154803266146	-0.000813521719129721	-0.00320089059374502	0.0460433575490894	0.0460044846773877	0.99	0.236397404256975	500	0.0601358772807397
"pencomp w ATT"	0.254154803266146	-0.00104717416065746	-0.00412022179868418	0.0451189672783543	0.0450859882842932	0.988	0.214009933726513	500	0.0544688184378469
"ATC"	0.0716453401844138	-0.00368787466021753	-0.0514740337714219	0.0170828650784925	0.0174596978851546	0.974	0.0712037185708189	500	0.0181642139211273
"ATC aug"	0.0716453401844138	0.00166192572995226	0.0231965641544097	0.0149202634346795	0.0149977008094638	0.96	0.0622185201067962	500	0.0158720714558154
"pencomp ATC"	0.0716453401844138	0.00105160468488099	0.0146779215811409	0.0153851357803046	0.0154056765702035	0.986	0.0732993649912764	500	0.0186900347561476
"pencomp w ATC"	0.0716453401844138	0.00112628162422516	0.0157202355565083	0.0146569708320031	0.014685559256607	0.992	0.076091958993627	500	0.0193993116592503
"truncate0.01"	0.176915619477715	-0.00318515997751919	-0.0180038370095435	0.0617608778273348	0.0617812468474485	0.956	0.251657426156747	500	0.0641983229991702
"truncate rest0.01"	0.176915619477715	-0.00293880980959893	-0.0166113643231435	0.0599705169722512	0.05998255232319	0.944	0.238878354382054	500	0.0609383557097077
"truncate.aug0.01"	0.176915619477715	0.00634627176989547	0.0358717437648002	0.0346051884521004	0.0351482459739764	0.972	0.134487412919031	500	0.0343080134997529
"truncate.aug rest0.01"	0.176915619477715	0.00645899587455583	0.0365089068654532	0.0344938944222271	0.0350594883393134	0.972	0.134735675572281	500	0.0343713458092555
"truncate pencomp0.01"	0.176915619477715	0.00859999749692069	0.04861073048445	0.0324732848749167	0.0335613640821317	0.966	0.135080865384219	500	0.0343814498753778
"truncate0.02"	0.195765421027772	0.00151888522196057	0.00775870025455156	0.0596894728593826	0.0596490948481869	0.956	0.24365113586833	500	0.062155902007227
"truncate rest0.02"	0.195765421027772	0.00137692534529126	0.00703354728359265	0.0552197049709186	0.055181639236685	0.954	0.224470153148279	500	0.0572627941704794
"truncate.aug0.02"	0.195765421027772	0.00681737278499378	0.0348241928998617	0.0380102747791653	0.0385793727074411	0.972	0.148337617206645	500	0.0378412288792462
"truncate.aug rest0.02"	0.195765421027772	0.00685935482710138	0.0350386436536628	0.0380142055037193	0.0385906777484268	0.97	0.148873682430148	500	0.0379779802117725
"truncate pencomp0.02"	0.195765421027772	0.00911605826634796	0.046566233293339	0.0358608048029313	0.0369665774015821	0.968	0.146605490378659	500	0.037317511310741
"truncate0.03"	0.210094970363594	0.00190514015802098	0.00906799508205221	0.0580152102523823	0.0579884699781653	0.964	0.240618728534056	500	0.0613823287076674
"truncate rest0.03"	0.210094970363594	0.00251898285991184	0.0119897342404363	0.052387799080197	0.0523959712585871	0.958	0.217557217646043	500	0.0554992902158273
"truncate.aug0.03"	0.210094970363594	0.00705964036400117	0.0336021388412279	0.0395677527311515	0.0401536345073544	0.964	0.157596188969643	500	0.0402031094310315
"truncate.aug rest0.03"	0.210094970363594	0.00694915322962925	0.0330762474589607	0.0398198397498999	0.0403824111345665	0.964	0.15830263211846	500	0.0403833245200154
"truncate pencomp0.03"	0.210094970363594	0.00862827629705155	0.041068457193998	0.0380988371189971	0.0390264717710748	0.97	0.154596377366855	500	0.0393546854447018
"truncate0.04"	0.221680731252094	0.00463524444911901	0.0209095505186143	0.0595938526171205	0.0597144028381316	0.962	0.240667467278274	500	0.0613947620607842
"truncate rest0.04"	0.221680731252094	0.00492041562357461	0.0221959553984832	0.0523161457454287	0.0524949105852591	0.962	0.215481153657393	500	0.0549696820554575
"truncate.aug0.04"	0.221680731252094	0.00693186131758557	0.0312695707851248	0.041561180704096	0.0420942725244388	0.968	0.165196369804611	500	0.0421419310726048
"truncate.aug rest0.04"	0.221680731252094	0.00692510921057586	0.0312391120845802	0.0417419634085814	0.0422713125389234	0.97	0.166117555798469	500	0.0423769274996093
"truncate pencomp0.04"	0.221680731252094	0.00773340511469056	0.0348853284225961	0.0397673746094427	0.0404732843963646	0.968	0.161028383969036	500	0.0409949724532964
"truncate0.05"	0.231233705021613	0.00568133217345302	0.0245696542072964	0.0590967594078867	0.0593103671699453	0.96	0.242364246205051	500	0.0618276138278192
"truncate rest0.05"	0.231233705021613	0.0055931569630129	0.0241883291300034	0.0527362120762197	0.0529795172952022	0.96	0.215306245410687	500	0.0549250626047672
"truncate.aug0.05"	0.231233705021613	0.00638859924701451	0.027628321945615	0.0429248620657097	0.0433551945691913	0.964	0.171981236008029	500	0.0438727642877625
"truncate.aug rest0.05"	0.231233705021613	0.00642147541375591	0.0277704991716311	0.0430987897718856	0.043531896523481	0.964	0.173138800689496	500	0.0441680614003817
"truncate pencomp0.05"	0.231233705021613	0.00675980039204825	0.0292336292039104	0.0411158797559548	0.041627267965965	0.968	0.166843454172058	500	0.0424776520997008
"truncate0.06"	0.239433831535188	0.00436783528910189	0.0182423480470428	0.0583972777453604	0.0585021328592843	0.96	0.244319792488397	500	0.0623264776756115
"truncate rest0.06"	0.239433831535188	0.00420067992447077	0.0175442204534635	0.0518788885081315	0.0519969417035398	0.972	0.216372383571419	500	0.0551970366253619
"truncate.aug0.06"	0.239433831535188	0.0053544833117123	0.0223631024796318	0.043928890178158	0.0442103877955793	0.962	0.17809232082392	500	0.045431714495898
"truncate.aug rest0.06"	0.239433831535188	0.00538695427487017	0.0224987180814441	0.0442252401462855	0.0445081947356233	0.964	0.179438105267709	500	0.0457750268540075
"truncate pencomp0.06"	0.239433831535188	0.0056335134892209	0.0235284773797432	0.0422750375187556	0.042606817692137	0.966	0.172149159260254	500	0.0438304471207382
"truncate0.07"	0.246087666654005	0.00295088657301916	0.0119912005877485	0.0580864712971629	0.0581033372796042	0.97	0.247190811194371	500	0.0630588804067272
"truncate rest0.07"	0.246087666654005	0.00426281428444531	0.0173223402147932	0.0518256815926409	0.0519490236252846	0.972	0.218811510491456	500	0.0558192628804734
"truncate.aug0.07"	0.246087666654005	0.00489166590584629	0.0198777369559275	0.0451663252004126	0.0453855189854609	0.97	0.184112091246642	500	0.04696737021598
"truncate.aug rest0.07"	0.246087666654005	0.00499599349312719	0.0203016817586046	0.0454286971857617	0.0456574084451036	0.968	0.185736040727819	500	0.0473816430428111
"truncate pencomp0.07"	0.246087666654005	0.00494089978599476	0.0200778033827334	0.0433704191444112	0.0436078405902382	0.964	0.177137559269911	500	0.0451022973680413
"truncate0.08"	0.25193600927286	0.00391190591917875	0.0155273790772083	0.0588996356894401	0.0589706007948077	0.966	0.249582527818193	500	0.0636690121985186
"truncate rest0.08"	0.25193600927286	0.00439119605941395	0.0174298071644775	0.0530778884959634	0.0532062996789643	0.976	0.221583631920558	500	0.056526436714428
"truncate.aug0.08"	0.25193600927286	0.0041496939733417	0.0164712221381873	0.0461293244571561	0.0462696304912436	0.966	0.189840091359755	500	0.0484285947346313
"truncate.aug rest0.08"	0.25193600927286	0.00416207501192499	0.0165203657227786	0.0466228841014318	0.0467618306281582	0.966	0.191823305726342	500	0.0489345167669241
"truncate pencomp0.08"	0.25193600927286	0.00412976302197479	0.016392110972521	0.0444412191293725	0.0445884161684082	0.966	0.181938381614931	500	0.0463261656264288
"truncate0.09"	0.256867080979679	0.00379379728904644	0.0147694958597928	0.0585399822417884	0.0586043390859204	0.976	0.252364159364735	500	0.0643786120828405
"truncate rest0.09"	0.256867080979679	0.0037206794740561	0.0144848435224382	0.0525016496655304	0.0525809264554701	0.98	0.22486547613081	500	0.0573636418701047
"truncate.aug0.09"	0.256867080979679	0.00376413440826727	0.0146540163648492	0.0466910662290947	0.0467959855342528	0.966	0.195494771270651	500	0.049871115120064
"truncate.aug rest0.09"	0.256867080979679	0.00379181457558621	0.0147617770292885	0.0472817478366553	0.0473863947658789	0.972	0.197687177346445	500	0.0504304023842971
"truncate pencomp0.09"	0.256867080979679	0.0035591378111913	0.0138559514812755	0.0454780027327931	0.0455716984219138	0.966	0.186683342627539	500	0.0475355257098351
"truncate0.1"	0.261246719592406	0.0043023086470267	0.0164683738564798	0.06011026443182	0.0602040468903667	0.968	0.255178312109382	500	0.0650965081911689
"truncate rest0.1"	0.261246719592406	0.00428998330836675	0.0164211949342749	0.0536646333470641	0.0537823116211672	0.974	0.228432279575354	500	0.0582735407079985
"truncate.aug0.1"	0.261246719592406	0.00377974358700966	0.0144680997063112	0.0483971468908259	0.0484962444020294	0.966	0.200944374988365	500	0.0512613201500932
"truncate.aug rest0.1"	0.261246719592406	0.00384304169406219	0.0147103921536625	0.0487845383383123	0.0488870155356492	0.964	0.203506904717381	500	0.0519150267136176
"truncate pencomp0.1"	0.261246719592406	0.00287985319174944	0.0110234999170231	0.0465047503794533	0.046547394971637	0.966	0.191489705087858	500	0.0487601471473203
"truncateQ0"	0.146874984106641	0.139283134907919	0.948310808372859	0.0697038785185633	0.15571995725965	0.442	0.25208546110277	500	0.0643075155874414
"truncateQ rest0"	0.146874984106641	0.0997429101236704	0.679100738157362	0.0627646784727534	0.117814150992142	0.6	0.223952175815597	500	0.0571306570958155
"truncateQ.aug0"	0.146874984106641	0.0547415418877669	0.372708410630506	0.0429248847286053	0.0695377382847347	0.724	0.168011706491538	500	0.0428601292070249
"truncateQ.aug rest0"	0.146874984106641	0.054835533144184	0.373348351168977	0.0421232566994403	0.069121311566433	0.724	0.165465365820571	500	0.0422105525052476
"truncateQ pencomp0"	0.146874984106641	0.0524642273988434	0.35720328902811	0.0394670122073845	0.0656279278892015	0.658	0.137474683018781	500	0.0350030635062483
"truncateQ0.005"	0.207908578876321	0.0307554005534405	0.147927520449919	0.0595027984930791	0.0669282939096278	0.966	0.279849255445661	500	0.0713901161851176
"truncateQ rest0.005"	0.207908578876321	0.0212537812679117	0.102226571807578	0.0520618201084577	0.0561848330509545	0.962	0.233211539937809	500	0.0594927397800533
"truncateQ.aug0.005"	0.207908578876321	0.014932123505594	0.0718206222479963	0.047303949134403	0.0495596266015905	0.956	0.194640254717197	500	0.0496531262033666
"truncateQ.aug rest0.005"	0.207908578876321	0.0149521119626085	0.0719167628551929	0.0474066973371856	0.0496635259990374	0.95	0.192705059854802	500	0.0491594540445923
"truncateQ pencomp0.005"	0.207908578876321	0.0124068140125595	0.0596743726478934	0.0447426707920692	0.0463878411910978	0.918	0.153608471185039	500	0.039115950040967
"truncateQ0.01"	0.221858370855506	0.0217620106635461	0.0980896532307067	0.0626928220207788	0.0663031994792369	0.962	0.269502227614821	500	0.068750568269087
"truncateQ rest0.01"	0.221858370855506	0.0134651834392016	0.0606926995239291	0.0557907614210442	0.0573384252214111	0.952	0.232536740630409	500	0.0593205970995942
"truncateQ.aug0.01"	0.221858370855506	0.00916635422568558	0.0413162423862544	0.0511201304697278	0.0518850966420441	0.956	0.208526805398604	500	0.053195613622093
"truncateQ.aug rest0.01"	0.221858370855506	0.00920948235003819	0.0415106372345817	0.0513064188217748	0.0520758915453821	0.952	0.207344144868947	500	0.0528939145073844
"truncateQ pencomp0.01"	0.221858370855506	0.00720945726667816	0.0324957640267431	0.0475797806715319	0.0480758164961723	0.928	0.164840851669014	500	0.0419784758898316
"truncateQ0.015"	0.227215645908389	0.0153542788226783	0.0675757990225243	0.0618792044382607	0.0636956179669589	0.964	0.269365828400192	500	0.0687157725510694
"truncateQ rest0.015"	0.227215645908389	0.0100383370515005	0.0441797791317059	0.0562641281920688	0.0570971893155053	0.96	0.238301265283782	500	0.0607911391030056
"truncateQ.aug0.015"	0.227215645908389	0.00816147547146137	0.0359195135477246	0.0531413886837481	0.0537119061170425	0.958	0.219912572003065	500	0.0561001459191492
"truncateQ.aug rest0.015"	0.227215645908389	0.00825809709094983	0.0363447554763874	0.0531229912334662	0.0537085119953933	0.958	0.219506406065447	500	0.0559965321595528
"truncateQ pencomp0.015"	0.227215645908389	0.00597431661913005	0.0262935969714816	0.0493083252924812	0.0496199635260694	0.922	0.172971793290488	500	0.0440522739912359
"truncateQ0.02"	0.22969754840491	0.0134066798390658	0.0583666649129078	0.0633392370246802	0.0646805557589149	0.964	0.272758736819758	500	0.0695813104132035
"truncateQ rest0.02"	0.22969754840491	0.00840445916318724	0.0365892419033219	0.0583221518774035	0.0588668445445939	0.962	0.245635484319159	500	0.0626621133467243
"truncateQ.aug0.02"	0.22969754840491	0.00658083663645576	0.0286500081614066	0.0558996291273982	0.056230120134526	0.954	0.229829102626537	500	0.0586298731190145
"truncateQ.aug rest0.02"	0.22969754840491	0.00644725071139833	0.0280684350188759	0.055868491490194	0.0561837414777863	0.956	0.230063622055397	500	0.0586896995039279
"truncateQ pencomp0.02"	0.22969754840491	0.00549072969600233	0.0239041719606136	0.0507635957739792	0.0510091843023069	0.928	0.180405129818032	500	0.045948106017927
