"truth"	"bias"	"biasPercent"	"sd"	"RMSE"	"coverage"	"widthCI"	"num.sim"	"sdBoot"
"ATE"	0.1444	-0.0738936563584089	-0.511728922149646	0.0794021538329231	0.108408325691596	0.582	0.241115007948328	500	0.0615089305990633
"ATE aug"	0.1444	0.00103177600987457	0.00714526322627817	0.028093165636884	0.0280840179697448	0.946	0.103568418287022	500	0.0264205148691384
"pencomp"	0.1444	0.000112569621860614	0.000779568018425307	0.0245644198800309	0.0245401013550095	0.976	0.108319602145871	500	0.0275692773347753
"ATM"	0.242185417065842	-0.062994932747365	-0.260110346488116	0.0484789729184085	0.0794598763240818	0.756	0.196820646474978	500	0.0502093485905555
"ATM aug"	0.242185417065842	0.00456732619883558	0.0188587994032435	0.0435706078513083	0.0437659861239524	0.96	0.177631119701223	500	0.0453140611482712
"pencomp ATM"	0.242185417065842	0.0107235278091018	0.0442781730585636	0.0443007770863772	0.0455371033491213	0.98	0.200205000203877	500	0.0510007740494526
"pencomp w ATM"	0.242185417065842	0.00483496640474595	0.0199639039514567	0.0432969071310907	0.0435229804002332	0.998	0.25107025923017	500	0.0640189086407658
"ATO"	0.230829532713831	-0.0595753678168501	-0.258092485465056	0.0464988662167734	0.0755449847497468	0.762	0.185507241171139	500	0.0473232758089641
"ATO aug"	0.230829532713831	0.00459053112460838	0.0198871048718859	0.0402418385985933	0.040462819212873	0.966	0.163302565729007	500	0.0416588177880121
"pencomp ATO"	0.230829532713831	0.00493857553556192	0.0213949033189114	0.0403420940656998	0.0406031909191754	1	0.279012147300837	500	0.0711606412070884
"ATT"	0.254154803266146	-0.116464286285046	-0.458241531493256	0.112666317618993	0.161963704907789	0.738	0.385511002444283	500	0.0983446434806844
"ATT aug"	0.254154803266146	-0.0137279398996335	-0.054014087962201	0.0547773569435749	0.0564182067239319	0.964	0.193953455115365	500	0.0494779222233075
"pencomp ATT"	0.254154803266146	-0.00149707470620826	-0.00589040493026039	0.046289839165958	0.0462677527470938	0.99	0.239657692244187	500	0.0609616492368016
"pencomp w ATT"	0.254154803266146	-0.015484661820357	-0.0609261033880277	0.0431921129112706	0.0458432356209211	0.99	0.210829109236416	500	0.0536584006562805
"ATC"	0.0716453401844138	-0.0190098127162254	-0.265332157922546	0.0205229738728562	0.0279593106348982	0.87	0.0815928863370579	500	0.020814511820678
"ATC aug"	0.0716453401844138	0.0106763799419019	0.149017087704812	0.0173035067335933	0.0203174213731171	0.906	0.0693691589751578	500	0.017696214024275
"pencomp ATC"	0.0716453401844138	0.000960657601733296	0.0134085147653787	0.0154348699110355	0.0154493236673977	0.988	0.0749450223689112	500	0.0191068692111095
"pencomp w ATC"	0.0716453401844138	0.0102030257553303	0.142410179490639	0.0160578246956766	0.0190115691370571	0.972	0.0825664693455119	500	0.0210465356762681
"truncate0.01"	0.168773234200743	-0.0540059400413414	-0.319991142535701	0.0580214562376525	0.0792237209737015	0.824	0.235975139096229	500	0.0601977395653645
"truncate rest0.01"	0.168773234200743	-0.054937518088512	-0.325510845061888	0.0567621413620015	0.0789533261132261	0.776	0.22643661166451	500	0.0577644417511506
"truncate.aug0.01"	0.168773234200743	0.0045484750331709	0.0269502155049113	0.0318305373445063	0.0321223499537644	0.958	0.127407411833154	500	0.0325018907737638
"truncate.aug rest0.01"	0.168773234200743	0.0046205548948978	0.027377296623954	0.0317852930130153	0.0320879069083067	0.958	0.127406040983547	500	0.0325015410672313
"truncate pencomp0.01"	0.168773234200743	0.0059570673747383	0.0352962802600133	0.0297913038473408	0.030351826848839	0.968	0.127576261600008	500	0.0324721308289063
"truncate0.02"	0.184047542563444	-0.0504921381538654	-0.274342908634382	0.0554274222400016	0.0749367116522209	0.856	0.230235433892595	500	0.0587335290542334
"truncate rest0.02"	0.184047542563444	-0.0533490399111713	-0.289865537828527	0.0526304544693878	0.0749035704597768	0.828	0.215008017368412	500	0.054848984022554
"truncate.aug0.02"	0.184047542563444	0.00465847402660059	0.025311253612608	0.0348178272185809	0.0350935593848076	0.97	0.138359472295422	500	0.0352957837488323
"truncate.aug rest0.02"	0.184047542563444	0.00469625673518261	0.0255165413771485	0.0347351694981362	0.0350167640336292	0.97	0.138450868528936	500	0.0353190991145244
"truncate pencomp0.02"	0.184047542563444	0.00660172099765235	0.0358696503398118	0.0324970277771952	0.0331289513998548	0.968	0.136768106612538	500	0.0348142006521264
"truncate0.03"	0.195839068216872	-0.0510723087576686	-0.260787131100477	0.0559218066722909	0.0756926329731549	0.858	0.22839225081718	500	0.0582633292900969
"truncate rest0.03"	0.195839068216872	-0.0545484127833662	-0.278536929735385	0.0513979526089617	0.0749132523023316	0.84	0.209377993395545	500	0.0534127534172309
"truncate.aug0.03"	0.195839068216872	0.00516516689380464	0.0263745479430322	0.0367415691705878	0.0370664534093526	0.97	0.146586060620379	500	0.0373944032194844
"truncate.aug rest0.03"	0.195839068216872	0.00514929101387621	0.0262934819939701	0.0368637609950326	0.037185134111565	0.968	0.146813566770818	500	0.0374524405027596
"truncate pencomp0.03"	0.195839068216872	0.00680779677878158	0.0347621995997378	0.034398688694895	0.0350321187104295	0.974	0.14363297184176	500	0.0365641236917726
"truncate0.04"	0.205837931822033	-0.051623831471869	-0.250798436492759	0.0554602580728067	0.0757278582879989	0.87	0.228029017993591	500	0.0581706678555079
"truncate rest0.04"	0.205837931822033	-0.0554540895821194	-0.269406562197996	0.0509268317441485	0.0752563031147262	0.832	0.206917415141345	500	0.0527850548829962
"truncate.aug0.04"	0.205837931822033	0.00574567102534891	0.0279135676038399	0.0386858321523688	0.0390718972873617	0.962	0.153118853407386	500	0.0390609319916801
"truncate.aug rest0.04"	0.205837931822033	0.00579783161411901	0.0281669737098398	0.0387330797753169	0.0391262803927102	0.966	0.15343115204081	500	0.0391406000104108
"truncate pencomp0.04"	0.205837931822033	0.00655394546934038	0.0318403192809327	0.0359171914755797	0.0364749058315653	0.974	0.149393777601445	500	0.0380328696192197
"truncate0.05"	0.214271223470662	-0.052818255554424	-0.246501861980809	0.0559135194032105	0.0768754650624082	0.86	0.228724707111815	500	0.0583481395693405
"truncate rest0.05"	0.214271223470662	-0.0567629795832336	-0.264911819066575	0.0507448168389462	0.0761046793194266	0.814	0.206426000910909	500	0.0526596941099259
"truncate.aug0.05"	0.214271223470662	0.00580874874877124	0.0271093273967635	0.0400746374038891	0.0404537534964734	0.962	0.158737680088636	500	0.0404943061450601
"truncate.aug rest0.05"	0.214271223470662	0.00580283359535977	0.0270817214806929	0.0400728862340991	0.0404511732394034	0.968	0.159097757625235	500	0.0405861626594988
"truncate pencomp0.05"	0.214271223470662	0.00633323923029933	0.0295571151726143	0.0372410577032598	0.0377390050908607	0.974	0.154557198225485	500	0.0393493721070726
"truncate0.06"	0.221900428661933	-0.0549090673539122	-0.247449127002664	0.057008418163956	0.0791104639080686	0.846	0.231068032982629	500	0.0589459267812829
"truncate rest0.06"	0.221900428661933	-0.0588146032273043	-0.265049525059318	0.0512991369192704	0.078009587862967	0.782	0.207636469759378	500	0.0529684871835149
"truncate.aug0.06"	0.221900428661933	0.00536837503269462	0.024192720424499	0.0412210754596683	0.0415282814286749	0.962	0.164007204379917	500	0.0418385725458972
"truncate.aug rest0.06"	0.221900428661933	0.00521502365173373	0.0235016384744297	0.0413231840393885	0.0416099363104897	0.966	0.164485584645593	500	0.0419606083279575
"truncate pencomp0.06"	0.221900428661933	0.00582184128134768	0.026236277759595	0.0384704483339254	0.0388704165160138	0.974	0.159402678114647	500	0.0405846974446546
"truncate0.07"	0.228077298525385	-0.0560356244333395	-0.245686987681954	0.0587149969646861	0.081120571820348	0.846	0.233468214485728	500	0.0595582179810532
"truncate rest0.07"	0.228077298525385	-0.059879504425774	-0.262540396667797	0.0528211076857596	0.0798125574617967	0.8	0.20936114368565	500	0.0534084550218495
"truncate.aug0.07"	0.228077298525385	0.00546203477161665	0.02394817374167	0.042536002710811	0.0428430475970985	0.958	0.168907412788427	500	0.0430886257113334
"truncate.aug rest0.07"	0.228077298525385	0.00532203357646591	0.023334341518753	0.0426010927355847	0.0428899456452253	0.962	0.169558052458597	500	0.0432546052190298
"truncate pencomp0.07"	0.228077298525385	0.00583746601265716	0.0255942439269442	0.0396268606983037	0.0400152911032031	0.974	0.163942891945877	500	0.0417422375349716
"truncate0.08"	0.233899318643085	-0.0579024677043139	-0.247552955862472	0.0585004784450399	0.0822688102052722	0.846	0.236262608104309	500	0.0602710734959972
"truncate rest0.08"	0.233899318643085	-0.061980660375838	-0.264988631584756	0.0523247674707576	0.0810802552346259	0.802	0.211630522700638	500	0.0539873782399586
"truncate.aug0.08"	0.233899318643085	0.00480284981920731	0.0205338341602275	0.043249644623476	0.0434724977764415	0.966	0.173875010587837	500	0.0443558700479177
"truncate.aug rest0.08"	0.233899318643085	0.00465209627127607	0.0198893109149021	0.0433455945713622	0.0435514051130918	0.966	0.17470351422849	500	0.0445672230174719
"truncate pencomp0.08"	0.233899318643085	0.0055263609900079	0.0236270931530192	0.0407422608913345	0.041074963477578	0.974	0.168344536851396	500	0.0428643440202596
"truncate0.09"	0.238877785881395	-0.0606728153100516	-0.253991031799735	0.0584079465062096	0.0841775252445077	0.824	0.238905553225635	500	0.0609452941902129
"truncate rest0.09"	0.238877785881395	-0.0638832488455762	-0.267430680545971	0.0517724807602329	0.0821954893385663	0.784	0.214519385540972	500	0.0547243330461662
"truncate.aug0.09"	0.238877785881395	0.00564398759293445	0.023627092708138	0.0441276974386998	0.0444433771199731	0.97	0.178855970104164	500	0.0456265229857561
"truncate.aug rest0.09"	0.238877785881395	0.0054023444869464	0.0226155164115123	0.0442089650554702	0.044493921517988	0.97	0.179813183367809	500	0.0458707100428084
"truncate pencomp0.09"	0.238877785881395	0.00544837971200609	0.0228082309617156	0.0417981392448662	0.0421102732944202	0.974	0.172663883541953	500	0.0439653470297074
"truncate0.1"	0.243359854332423	-0.0621158974950428	-0.255242992585762	0.0580732178211984	0.0849949313339731	0.826	0.241790849254889	500	0.0616813390956349
"truncate rest0.1"	0.243359854332423	-0.0654669253380725	-0.269012839104705	0.0510942406351445	0.0830139656711487	0.778	0.217496849076126	500	0.0554838900704402
"truncate.aug0.1"	0.243359854332423	0.00571675354102246	0.0234909474149074	0.0447727952794579	0.0450918536078388	0.97	0.183647184968235	500	0.0468487716755701
"truncate.aug rest0.1"	0.243359854332423	0.00554313293351415	0.0227775158261822	0.0448312083807893	0.0451280831978337	0.972	0.184831235554602	500	0.0471508253965823
"truncate pencomp0.1"	0.243359854332423	0.00536130932330419	0.0220303769412221	0.0428106195778715	0.0431025206687973	0.972	0.176938937385924	500	0.0450549405492009
"truncateQ0"	0.147230662560923	0.0708277912656524	0.481066851385962	0.0680379412415625	0.0981655700389111	0.82	0.242405877154996	500	0.0618382339681113
"truncateQ rest0"	0.147230662560923	0.0343785054623203	0.233500989972755	0.0626519221210318	0.0714093443226565	0.936	0.216109873523419	500	0.0551300697763824
"truncateQ.aug0"	0.147230662560923	0.0457529784586514	0.310757132127413	0.0410181857042091	0.0614203680645588	0.766	0.156593540935063	500	0.0399473318711897
"truncateQ.aug rest0"	0.147230662560923	0.0460267594270064	0.31261666983235	0.0399723515977734	0.0609348496168082	0.76	0.153265249926325	500	0.0390982780424298
"truncateQ pencomp0"	0.147230662560923	0.0454174440548287	0.308478161171319	0.0367344066732067	0.0583905987710244	0.696	0.132605920193186	500	0.0337639748898863
"truncateQ0.005"	0.198589148545244	-0.0293738797948581	-0.147912814018466	0.053318529821617	0.060827663980271	0.964	0.260851479693892	500	0.0665437448198705
"truncateQ rest0.005"	0.198589148545244	-0.0400255425447	-0.201549494712603	0.0478912802546626	0.0623781342377228	0.916	0.218317184347392	500	0.055693159272294
"truncateQ.aug0.005"	0.198589148545244	0.0139640609840085	0.0703163344336867	0.0433995507351064	0.0455494123031919	0.952	0.177848259094439	500	0.0453694538506222
"truncateQ.aug rest0.005"	0.198589148545244	0.0139416798105331	0.0702036335452477	0.0433306871068488	0.0454770687731823	0.954	0.175309502812325	500	0.0447218119419195
"truncateQ pencomp0.005"	0.198589148545244	0.0122461026813545	0.0616655178344977	0.0400247482806131	0.0418179811188783	0.92	0.145447940536231	500	0.0370392431632203
"truncateQ0.01"	0.209888881360526	-0.0384875704674641	-0.183371173441789	0.0540010604063024	0.066268962391478	0.924	0.245290295944275	500	0.0625740550878253
"truncateQ rest0.01"	0.209888881360526	-0.0476947190100361	-0.227237949437212	0.0487807417944697	0.068187886533643	0.868	0.211860700357962	500	0.0540460970300923
"truncateQ.aug0.01"	0.209888881360526	0.00939732046201019	0.0447728359934819	0.0457112602467706	0.0466224184978322	0.958	0.188772544825263	500	0.0481562614350161
"truncateQ.aug rest0.01"	0.209888881360526	0.00941448387590353	0.0448546098053297	0.04548745158819	0.0464069234288764	0.956	0.18697046937824	500	0.0476965483107755
