"truth"	"bias"	"biasPercent"	"sd"	"RMSE"	"coverage"	"widthCI"	"num.sim"	"sdBoot"
"ATE"	0.75	-0.554830988482037	-0.739774651309382	0.968393830481703	1.1152347122795	0.586	2.49316211967291	500	0.636010744814517
"ATE aug"	0.75	-0.00315072572973468	-0.00420096763964624	0.260562446847628	0.260320821684383	0.908	0.817743768963156	500	0.208608104327336
"pencomp"	0.75	-0.00558142381367623	-0.00744189841823498	0.203302681142954	0.203175954510818	0.978	1.04114894562315	500	0.264205146156447
"ATM"	0.75	-0.000215812418988135	-0.00028774989198418	0.14395880432659	0.143814935397737	0.95	0.588405816725437	500	0.150103524674856
"ATM aug"	0.75	-0.00219513673959165	-0.0029268489861222	0.144358726502019	0.144231001032218	0.958	0.578588905276866	500	0.147599210529813
"pencomp ATM"	0.75	-0.00289064642882097	-0.00385419523842796	0.14105167902864	0.140940203069462	0.976	0.641957917262077	500	0.163519857547945
"pencomp w ATM"	0.75	-0.00158974436565805	-0.00211965915421073	0.141872791545154	0.141739763263529	0.966	0.586190541943465	500	0.149263111941471
"ATO"	0.75	-0.00388532488389757	-0.00518043317853009	0.142784683700166	0.142694732618311	0.946	0.559832177700782	500	0.142814331046118
"ATO aug"	0.75	-0.00423155254637485	-0.00564207006183314	0.142848868033867	0.142768671413979	0.948	0.55990755723205	500	0.14283356051838
"pencomp ATO"	0.75	-0.00261969693157237	-0.00349292924209649	0.140374027467709	0.140258050265728	0.96	0.568202052430508	500	0.144638688604035
"ATT"	0.75	-0.345479672485877	-0.460639563314502	0.713994435551643	0.792543173582147	0.632	1.7882267524819	500	0.456180294000484
"ATT aug"	0.75	-0.0132110588417878	-0.0176147451223837	0.307468143977633	0.30744449632031	0.894	0.917883241168134	500	0.234153888053095
"pencomp ATT"	0.75	-0.00970666608402635	-0.0129422214453685	0.224604969473897	0.224590108629503	0.992	1.07837606679613	500	0.273879358246076
"pencomp w ATT"	0.75	-0.00936380257493157	-0.0124850700999088	0.226138328081288	0.226106052858405	0.986	1.00963418824671	500	0.256401666471288
"ATC"	0.75	-0.574383088874006	-0.765844118498675	0.883977899813656	1.0534562289382	0.556	2.23254960007391	500	0.569527959202529
"ATC aug"	0.75	0.00387983030675922	0.00517310707567896	0.338243946159243	0.337927806287615	0.894	1.04953448456421	500	0.267738388919441
"pencomp ATC"	0.75	-0.00227871470559866	-0.00303828627413155	0.284353712936597	0.284078356326941	0.99	1.53701744924877	500	0.389970176495066
